	あっ	a	Ah!;Oh!
財産	ざいさん	zaisan	property;fortune;assets
最終	さいしゅう	saishuu	last;final;closing
最中	さいちゅう	saichuu	in the middle of
最低	さいてい	saitei	least;lowest;worst
才能	さいのう	sainou	talent;ability
裁判	さいばん	saiban	trial;judgement
材料	ざいりょう	zairyou	ingredients;material
幸い	さいわい	saiwai	happiness;blessedness
	サイン	sain	(1) autograph;(2) sign;(3) sine
境	さかい	sakai	border;boundary;mental state
逆らう	さからう	sakarau	to go against;to oppose;to disobey;to defy
盛り	さかり	sakari	helping;serving
作業	さぎょう	sagyou	work;operation;manufacturing;fatigue duty
昨	さく	saku	last (year);yesterday
作品	さくひん	sakuhin	work;opus;performance;production
作物	さくもつ	sakumotsu	produce (e.g. agricultural);crops
桜	さくら	sakura	cherry blossom;cherry tree
酒	さけ	sake	alcohol;sake
叫ぶ	さけぶ	sakebu	to shout;to cry
避ける	さける	sakeru	(1) to avoid (physical contact );(2) to ward off;to avert
支える	ささえる	sasaeru	to be blocked;to choke;to be obstructed
指す	さす	sasu	to point;to put up umbrella;to play
座席	ざせき	zaseki	seat
誘う	さそう	sasou	(1) to invite;to ask;(2) to tempt;to lure;to induce
札	さつ	satsu	(1) token;label;(2) ticket;(3) charm
作家	さっか	sakka	author;writer;novelist;artist
作曲	さっきょく	sakkyoku	composition;setting (of music)
	ざっと	zatto	roughly;in round numbers
	さっぱり	sappari	feeling refreshed;feeling relieved;neat;trimmed
	さて	sate	well;now;then
砂漠	さばく	sabaku	desert
差別	さべつ	sabetsu	discrimination;distinction;differentiation
作法	さほう	sahou	manners;etiquette;propriety
様々	さまざま	samazama	varied;various
覚ます	さます	samasu	to awaken
覚める	さめる	sameru	to wake;to wake up
左右	さゆう	sayuu	(1) left and right;(2) influence;control;domination
皿	さら	sara	plate;dish
更に	さらに	sarani	furthermore;again;after all;more and more;moreover
去る	さる	saru	to leave;to go away
猿	さる	saru	monkey
騒ぎ	さわぎ	sawagi	uproar;disturbance
参加	さんか	sanka	participation
参考	さんこう	sankou	reference;consultation
賛成	さんせい	sansei	approval;agreement;support;favour
酸素	さんそ	sanso	oxygen
散歩	さんぽ	sanpo	walk;stroll
氏	し	shi	family name;lineage;birth
詩	し	shi	poem;verse of poetry
幸せ	しあわせ	shiawase	happiness;good fortune;luck;blessing
	ジーンズ	jiinzu	jeans
ジェット機	ジェットき	jettoki	jet aeroplane
直に	じかに	jikani	immediately;readily;directly
	しかも	shikamo	moreover;furthermore;nevertheless;and yet
叱る	しかる	shikaru	to scold
式	しき	shiki	equation;formula;ceremony
直	じき	jiki	earnestly;immediately;exactly
時期	じき	jiki	time;season;period
支給	しきゅう	shikyuu	payment;allowance
	しきりに	shikirini	frequently;repeatedly;incessantly;eagerly
刺激	しげき	shigeki	stimulus;impetus;incentive
資源	しげん	shigen	resources
事件	じけん	jiken	event;affair;incident
時刻	じこく	jikoku	instant;time;moment
自殺	じさつ	jisatsu	suicide
事実	じじつ	jijitsu	fact;truth;reality
支出	ししゅつ	shishutsu	expenditure;expenses
事情	じじょう	jijou	circumstances;consideration;conditions;situation;reasons
詩人	しじん	shijin	poet
自身	じしん	jishin	by oneself;personally
沈む	しずむ	shizumu	to sink;to feel depressed
自然	しぜん	shizen	nature;spontaneous
思想	しそう	shisou	thought;idea
舌	した	shita	tongue
次第	しだい	shidai	(1) order;precedence;(2) circumstances;(3) immediate(ly)
事態	じたい	jitai	situation;present state of affairs
従う	したがう	shitagau	to abide (by the rules);to obey;to follow;to accompany
したがって	したがって	shitagatte	therefore;consequently;in accordance with
支度	したく	shitaku	preparation
親しい	したしい	shitashii	intimate;close (e.g. friend)
質	しつ	shitsu	quality;nature (of person)
失業	しつぎょう	shitsugyou	unemployment
実験	じっけん	jikken	experiment
実現	じつげん	jitsugen	implementation;materialization;realization
実行	じっこう	jikkou	practice;performance;execution (e.g. program);realization
実際	じっさい	jissai	practical;actual condition;status quo
実施	じっし	jisshi	enforcement;enact;put into practice;carry out;operation
	じっと	jitto	fixedly;firmly;patiently;quietly
実に	じつに	jitsuni	indeed;truly;surely
実は	じつは	jitsuha	as a matter of fact;by the way
失望	しつぼう	shitsubou	disappointment;despair
支店	してん	shiten	branch store (office)
指導	しどう	shidou	leadership;guidance;coaching
自動	じどう	jidou	automatic;self-motion
品	しな	shina	thing;article;goods;dignity;article (goods);counter for meal courses
支配	しはい	shihai	rule;control;direction
芝居	しばい	shibai	play;drama
	しばしば	shibashiba	often;again and again;frequently
芝生	しばふ	shibafu	lawn
支払	しはらい	shiharai	payment
支払う	しはらう	shiharau	to pay
死亡	しぼう	shibou	death;mortality
資本	しほん	shihon	funds;capital
姉妹	しまい	shimai	sisters
	しまう	shimau	to finish;to close;to do something completely
	しまった	shimatta	Damn it!
自慢	じまん	jiman	pride;boast
事務	じむ	jimu	business;office work
示す	しめす	shimesu	to denote;to show;to point out;to indicate
占める	しめる	shimeru	(1) to comprise;to account for;to make up (of);(2) to hold;to occupy
下	しも	shimo	under;below;beneath
霜	しも	shimo	frost
	じゃあ	jaa	well;well then
借金	しゃっきん	shakkin	debt;loan;liabilities
	しゃべる	shaberu	to talk;to chat;to chatter
邪魔	じゃま	jama	hindrance;intrusion
週	しゅう	shuu	week
州	しゅう	shuu	sandbank
十	じゅう	juu	10;ten
銃	じゅう	juu	gun
周囲	しゅうい	shuui	surroundings;circumference;environs
収穫	しゅうかく	shuukaku	harvest;crop;ingathering
週間	しゅうかん	shuukan	week;weekly
宗教	しゅうきょう	shuukyou	religion
重視	じゅうし	juushi	importance;stress;serious consideration
就職	しゅうしょく	shuushoku	finding employment;inauguration
	ジュース	juusu	juice;soft drink;deuce
修正	しゅうせい	shuusei	amendment;correction;revision;modification
渋滞	じゅうたい	juutai	congestion (e.g. traffic);delay;stagnation
重大	じゅうだい	juudai	serious;important;grave;weighty
住宅	じゅうたく	juutaku	resident;housing
集団	しゅうだん	shuudan	group;mass
集中	しゅうちゅう	shuuchuu	concentration;focusing the mind
収入	しゅうにゅう	shuunyuu	income;receipts;revenue
住民	じゅうみん	juumin	citizens;inhabitants;residents;population
重要	じゅうよう	juuyou	important;momentous;essential;principal;major
修理	しゅうり	shuuri	repairing;mending
主義	しゅぎ	shugi	doctrine;rule;principle
宿泊	しゅくはく	shukuhaku	lodging
手術	しゅじゅつ	shujutsu	surgical operation
首相	しゅしょう	shushou	Prime Minister
手段	しゅだん	shudan	means;way;measure
主張	しゅちょう	shuchou	claim;request;insistence;assertion
出身	しゅっしん	shusshin	graduate from;come from
出席	しゅっせき	shusseki	attendance;presence
出発	しゅっぱつ	shuppatsu	departure
出版	しゅっぱん	shuppan	publication
首都	しゅと	shuto	capital city
主婦	しゅふ	shufu	housewife;mistress
主要	しゅよう	shuyou	chief;main;principal;major
需要	じゅよう	juyou	demand;request
種類	しゅるい	shurui	variety;kind;type
順	じゅん	jun	order;turn
瞬間	しゅんかん	shunkan	moment;second;instant
順調	じゅんちょう	junchou	favourable;doing well;O.K.;all right
順番	じゅんばん	junban	turn (in line);order of things
準備	じゅんび	junbi	preparation;arrangements;provision;reserve
使用	しよう	shiyou	use;application;employment;utilization
小	しょう	shou	small
章	しょう	shou	(1) chapter;section;(2) medal
賞	しょう	shou	prize;award
障害	しょうがい	shougai	obstacle;impediment (fault);damage
奨学金	しょうがくきん	shougakukin	scholarship
乗客	じょうきゃく	joukyaku	passenger
上京	じょうきょう	joukyou	proceeding to the capital (Tokyo)
状況	じょうきょう	joukyou	state of affairs;situation;circumstances
条件	じょうけん	jouken	conditions;terms
正午	しょうご	shougo	noon;mid-day
正直	しょうじき	shoujiki	honesty;integrity;frankness
常識	じょうしき	joushiki	common sense
少女	しょうじょ	shoujo	daughter;young lady;virgin;maiden;little girl
少々	しょうしょう	shoushou	just a minute;small quantity
症状	しょうじょう	shoujou	symptoms;condition
生じる	しょうじる	shoujiru	to produce;to yield;to result from;to arise;to be generated
招待	しょうたい	shoutai	invitation
状態	じょうたい	joutai	condition;situation;circumstances;state
上達	じょうたつ	joutatsu	improvement;advance;progress
冗談	じょうだん	joudan	jest;joke
承知	しょうち	shouchi	consent;acceptance;assent;admitting
上等	じょうとう	joutou	superiority;first class;very good
衝突	しょうとつ	shoutotsu	collision;conflict
商人	しょうにん	shounin	trader;shopkeeper;merchant
承認	しょうにん	shounin	recognition;acknowledgement;approval;consent;agreement
少年	しょうねん	shounen	boys;juveniles
商売	しょうばい	shoubai	trade;business;commerce;transaction;occupation
消費	しょうひ	shouhi	consumption;expenditure
商品	しょうひん	shouhin	commodity;article of commerce;goods;stock;merchandise
消防	しょうぼう	shoubou	fire fighting;fire department
情報	じょうほう	jouhou	information;(military) intelligence
証明	しょうめい	shoumei	proof;verification
女王	じょおう	joou	queen
職	しょく	shoku	employment
職業	しょくぎょう	shokugyou	occupation;business
食事	しょくじ	shokuji	meal
食卓	しょくたく	shokutaku	dining table
食品	しょくひん	shokuhin	commodity;foodstuff
植物	しょくぶつ	shokubutsu	plant;vegetation
食物	しょくもつ	shokumotsu	food;foodstuff
食欲	しょくよく	shokuyoku	appetite (for food)
食料	しょくりょう	shokuryou	food
食糧	しょくりょう	shokuryou	provisions;rations
書斎	しょさい	shosai	study
女子	じょし	joshi	woman;girl
助手	じょしゅ	joshu	helper;helpmeet;assistant;tutor
徐々に	じょじょに	jojoni	slowly;little by little;gradually;steadily;quietly
署名	しょめい	shomei	signature
書物	しょもつ	shomotsu	books
女優	じょゆう	joyuu	actress
処理	しょり	shori	processing;dealing with;treatment;disposition;disposal
書類	しょるい	shorui	documents;official papers
知らせ	しらせ	shirase	notice
尻	しり	shiri	buttocks;bottom
印	しるし	shirushi	(1) mark;(2) symbol;(3) evidence
城	しろ	shiro	castle
進学	しんがく	shingaku	going on to university
神経	しんけい	shinkei	nerve;sensitivity
真剣	しんけん	shinken	seriousness;earnestness
信仰	しんこう	shinkou	(religious) faith;belief;creed
信号	しんごう	shingou	traffic lights;signal;semaphore
人工	じんこう	jinkou	artificial;manmade;human work;human skill;artificiality
深刻	しんこく	shinkoku	serious
診察	しんさつ	shinsatsu	medical examination
人種	じんしゅ	jinshu	race (of people)
信じる	しんじる	shinjiru	to believe;to place trust in
人生	じんせい	jinsei	(human) life (i.e. conception to death)
親戚	しんせき	shinseki	relative
新鮮	しんせん	shinsen	fresh
心臓	しんぞう	shinzou	heart
身体	しんたい	shintai	the body
身長	しんちょう	shinchou	height (of body);stature
慎重	しんちょう	shinchou	discretion;prudence
心配	しんぱい	shinpai	worry;concern;anxiety;care
審判	しんぱん	shinpan	refereeing;trial;judgement;umpire;referee
人物	じんぶつ	jinbutsu	character;personality;person;man;personage;talented man
進歩	しんぽ	shinpo	progress;development
親友	しんゆう	shinyuu	close friend;buddy
信用	しんよう	shinyou	confidence;dependence;credit;faith
信頼	しんらい	shinrai	reliance;trust;confidence
心理	しんり	shinri	mentality
人類	じんるい	jinrui	mankind;humanity
巣	す	su	nest;rookery;breeding place;beehive;cobweb
図	ず	zu	figure (e.g. Fig 1);drawing;picture;illustration
水準	すいじゅん	suijun	(1) water level;(2) level;standard
推薦	すいせん	suisen	recommendation
	スイッチ	suicchi	switch
随分	ずいぶん	zuibun	extremely
睡眠	すいみん	suimin	sleep
数	すう	suu	number;figure
数字	すうじ	suuji	numeral;figure
	スープ	suupu	(Western) soup
末	すえ	sue	the end of;powder
姿	すがた	sugata	figure;shape;appearance
	スキー	sukii	skiing
空く	すく	suku	(1) to open;to become empty;(2) to be less crowded
救う	すくう	sukuu	to rescue from;to help out of
優れる	すぐれる	sugureru	to surpass;to outstrip;to excel
	スケート	sukeeto	skate(s);skating
	すごい	sugoi	terrible;dreadful;terrific;amazing;great
少しも	すこしも	sukoshimo	anything of;not one bit
過ごす	すごす	sugosu	to pass;to spend;to go through;to tide over
筋	すじ	suji	muscle;string;line
進める	すすめる	susumeru	to advance;to promote;to hasten
勧める	すすめる	susumeru	to recommend;to advise;to encourage;to offer (wine)
	スター	sutaa	star
	スタイル	sutairu	style
	スタンド	sutando	stand
頭痛	ずつう	zutsuu	headache
	ずっと	zutto	consecutively;throughout;a lot
	すてき	suteki	lovely;dreamy;beautiful;great
既に	すでに	sudeni	already;too late
	すなわち	sunawachi	that is;namely;i.e.
素晴らしい	すばらしい	subarashii	wonderful;splendid;magnificent
	スピーチ	supiichi	speech
全て	すべて	subete	all;the whole;entirely;in general;wholly
済ませる	すませる	sumaseru	to be finished
角	すみ	sumi	horn
為る	する	suru	to change;to be of use;to reach to
すると	すると	suruto	thereupon;hereupon
鋭い	するどい	surudoi	pointed;sharp
背	せい	sei	height;stature
正	せい	sei	(logical) true;regular
生	せい	sei	(1) draft (beer);(2) raw;unprocessed
性	せい	sei	sex;gender
所為	せい	sei	cause;reason;fault
税	ぜい	zei	tax
性格	せいかく	seikaku	character;personality
正確	せいかく	seikaku	accurate;punctuality;exactness;authenticity;veracity
世紀	せいき	seiki	century;era
請求	せいきゅう	seikyuu	claim;demand;application;request
税金	ぜいきん	zeikin	tax;duty
清潔	せいけつ	seiketsu	clean
制限	せいげん	seigen	restriction;restraint;limitation
成功	せいこう	seikou	success;hit
生産	せいさん	seisan	production;manufacture
正式	せいしき	seishiki	due form;official;formality
精神	せいしん	seishin	mind;soul;heart;spirit;intention
成人	せいじん	seijin	adult
精々	せいぜい	seizei	at the most;at best;to the utmost;as much (far) as possible
成績	せいせき	seiseki	results;record
製造	せいぞう	seizou	manufacture;production
贅沢	ぜいたく	zeitaku	luxury;extravagance
成長	せいちょう	seichou	growth;grow to adulthood
制度	せいど	seido	system;institution;organization
青年	せいねん	seinen	youth;young man
製品	せいひん	seihin	manufactured goods;finished goods
政府	せいふ	seifu	government;administration
生物	せいぶつ	seibutsu	raw food
生命	せいめい	seimei	life;existence
整理	せいり	seiri	sorting;arrangement;adjustment;regulation
咳	せき	seki	cough
石炭	せきたん	sekitan	coal
責任	せきにん	sekinin	duty;responsibility
石油	せきゆ	sekiyu	oil;petroleum;kerosene
世間	せけん	seken	world;society
説	せつ	setsu	theory
積極的	せっきょくてき	sekkyokuteki	positive;active;proactive
設計	せっけい	sekkei	plan;design
絶対	ぜったい	zettai	absolute;unconditional;absoluteness
	セット	setto	set
設備	せつび	setsubi	equipment;device;facilities;installation
絶滅	ぜつめつ	zetsumetsu	destruction;extinction
節約	せつやく	setsuyaku	economising;saving
是非	ぜひ	zehi	certainly;without fail
責める	せめる	semeru	to condemn;to blame;to criticize
世話	せわ	sewa	looking after;help;aid;assistance
善	ぜん	zen	good;goodness;right;virtue
全	ぜん	zen	all;whole;entire;complete;overall;pan
全員	ぜんいん	zenin	all members (unanimity);all hands;the whole crew
専攻	せんこう	senkou	major subject;special study
全国	ぜんこく	zenkoku	country-wide;nation-wide;whole country;national
先日	せんじつ	senjitsu	the other day;a few days ago
前者	ぜんしゃ	zensha	the former
選手	せんしゅ	senshu	(1) player (in game);(2) team
前進	ぜんしん	zenshin	advance;drive;progress
全然	ぜんぜん	zenzen	(1) wholly;entirely;completely;(2) not at all (with neg. verb)
	センター	sentaa	a center
全体	ぜんたい	zentai	whole;entirety;whatever (is the matter)
選択	せんたく	sentaku	selection;choice
そう	そう	sou	so
象	ぞう	zou	elephant
騒音	そうおん	souon	noise
増加	ぞうか	zouka	increase;addition
操作	そうさ	sousa	operation;management;processing
掃除	そうじ	souji	cleaning;sweeping
想像	そうぞう	souzou	imagination;guess
相続	そうぞく	souzoku	succession;inheritance
相談	そうだん	soudan	consultation;discussion
装置	そうち	souchi	equipment;installation;apparatus
相当	そうとう	soutou	suitable;fair;tolerable;proper
速度	そくど	sokudo	speed;velocity;rate
底	そこ	soko	bottom;sole
	そこで	sokode	so (conj);accordingly;now;then;thereupon
組織	そしき	soshiki	(1) organization;(2) structure;construction;(3) tissue;(4) system
	そして	soshite	and
注ぐ	そそぐ	sosogu	to pour (into);to irrigate;to pay;to fill;to feed (e.g. a fire)
育つ	そだつ	sodatsu	to raise (child);to be brought up;to grow (up)
	そっくり	sokkuri	all;altogether;entirely;be just like;the splitting image of
	そっと	sotto	face of the earth
袖	そで	sode	sleeve
備える	そなえる	sonaeru	to furnish;to provide for;to equip;to install
	そのうち	sonouchi	eventually;sooner or later;of the previously mentioned
	そのまま	sonomama	without change;as it is (i.e. now)
側	そば	soba	side;edge;third person
	ソファー	sofaa	sofa;couch
粗末	そまつ	somatsu	crude;rough;plain;humble
	それぞれ	sorezore	each;every;either;respectively;severally
	それでも	soredemo	but (still);and yet;nevertheless;even so;notwithstanding
	それと	soreto	To that
	それとも	soretomo	or;or else
損	そん	son	loss;disadvantage
損害	そんがい	songai	damage;injury;loss
尊敬	そんけい	sonkei	respect;esteem;reverence;honour
存在	そんざい	sonzai	existence;being
尊重	そんちょう	sonchou	respect;esteem;regard
田	た	ta	rice field
他	た	ta	other (esp. places and things)
対	たい	tai	pair;couple;set
台	だい	dai	stand;rack;table;support
題	だい	dai	title;subject;theme;topic
体育	たいいく	taiiku	physical education;gymnastics;athletics
体温	たいおん	taion	temperature (body)
大会	たいかい	taikai	convention;tournament;mass meeting;rally
大気	たいき	taiki	atmosphere
代金	だいきん	daikin	price;payment;cost;charge
退屈	たいくつ	taikutsu	tedium;boredom
滞在	たいざい	taizai	stay;sojourn
大使	たいし	taishi	ambassador
大した	たいした	taishita	considerable;great;important;significant;a big deal
対象	たいしょう	taishou	target;object (of worship; study; etc);subject (of taxation; etc)
大臣	だいじん	daijin	cabinet minister
対する	たいする	taisuru	to face;to confront;to oppose
大戦	たいせん	taisen	great war;great battle
大抵	たいてい	taitei	usually;generally
態度	たいど	taido	attitude;manner
大統領	だいとうりょう	daitouryou	president;chief executive
大半	たいはん	taihan	majority;mostly;generally
代表	だいひょう	daihyou	representative;representation;delegation;type;example;model
大部分	だいぶぶん	daibubun	most part;greater part;majority
	タイプライター	taipuraitaa	typewriter
大変	たいへん	taihen	awful;dreadful;terrible;very
逮捕	たいほ	taiho	arrest;apprehension;capture
	ダイヤ	daiya	(1) dyer;(2) diagram;(3) (railway) schedule;(4) diamond
太陽	たいよう	taiyou	sun;solar
平ら	たいら	taira	flatness;level;smooth;calm;plain
代理	だいり	dairi	representation;agency;proxy;deputy;agent
大陸	たいりく	tairiku	continent
倒す	たおす	taosu	to throw down;to beat;to bring down;to blow down
	タオル	taoru	(hand) towel
だが	だが	daga	but
互い	たがい	tagai	mutual;reciprocal
宝	たから	takara	treasure
だから	だから	dakara	so;therefore
宅	たく	taku	house;home;husband
	だけど	dakedo	however
確かめる	たしかめる	tashikameru	to ascertain
多少	たしょう	tashou	more or less;somewhat;a little;some
助ける	たすける	tasukeru	to help;to save;to rescue
唯	ただ	tada	free of charge;mere;sole;only;usual;common
戦い	たたかい	tatakai	battle;fight;struggle;conflict
戦う	たたかう	tatakau	to fight;to battle;to combat
叩く	たたく	tataku	to strike;to clap;to dust;to beat
直ちに	ただちに	tadachini	at once;immediately;directly;in person
立ち上がる	たちあがる	tachiagaru	to stand up
立場	たちば	tachiba	standpoint;position;situation
経つ	たつ	tatsu	to pass;to lapse
達する	たっする	tassuru	to reach;to get to
唯	たった	tatta	free of charge;mere;sole;only;usual;common
	だって	datte	but;because;even;also;too
	たっぷり	tappuri	full;in plenty;ample
縦	たて	tate	length;height
	たとえ	tatoe	simile;metaphor;allegory
谷	たに	tani	valley
他人	たにん	tanin	another person;unrelated person;outsider;stranger
種	たね	tane	(1) seed;(2) material;(3) cause;source
束	たば	taba	handbreadth;bundle
度	たび	tabi	counter for occurrences
旅	たび	tabi	travel;trip;journey
	たびたび	tabitabi	often;repeatedly;frequently
多分	たぶん	tabun	perhaps;probably
玉	たま	tama	ball;sphere;coin
球	たま	tama	globe;sphere;ball
弾	たま	tama	bullet;shot;shell
偶	たま	tama	even number;couple;man and wife;friend
偶々	たまたま	tamatama	casually;unexpectedly;accidentally;by chance
	たまらない	tamaranai	intolerable;unbearable;unendurable
黙る	だまる	damaru	to be silent
駄目	だめ	dame	useless;no good;hopeless
試し	ためし	tameshi	trial;test
試す	ためす	tamesu	to attempt;to test
便り	たより	tayori	news;tidings;information;correspondence;letter
頼る	たよる	tayoru	to rely on;to have recourse to;to depend on
誰か	だれか	dareka	someone;somebody
段	だん	dan	step;stair;flight of steps;grade;rank;level
単位	たんい	tani	unit;denomination;credit (in school)
単語	たんご	tango	word;vocabulary;(usually) single-character word
男子	だんし	danshi	youth;young man
単純	たんじゅん	tanjun	simplicity
誕生	たんじょう	tanjou	birth
	ダンス	dansu	dance
団体	だんたい	dantai	organization;association
担当	たんとう	tantou	(in) charge
単なる	たんなる	tannaru	mere;simple;sheer
単に	たんに	tanni	simply;merely;only;solely
地	ち	chi	earth
地位	ちい	chii	(social) position;status
地域	ちいき	chiiki	area;region
	チーズ	chiizu	cheese
	チーム	chiimu	team
知恵	ちえ	chie	wisdom;wit;sagacity;sense;intelligence;advice
地下	ちか	chika	basement;underground
違い	ちがい	chigai	difference;discrepancy
違いない	ちがいない	chigainai	(phrase) sure;no mistaking it;for certain
近頃	ちかごろ	chikagoro	lately;recently;nowadays
地球	ちきゅう	chikyuu	the earth
地区	ちく	chiku	district;section;sector
遅刻	ちこく	chikoku	lateness;late coming
知事	ちじ	chiji	prefectural governor
知識	ちしき	chishiki	knowledge;information
父親	ちちおや	chichioya	father
知能	ちのう	chinou	intelligence;brains
地平線	ちへいせん	chiheisen	horizon
地方	ちほう	chihou	area;locality;district;region;the coast
茶	ちゃ	cha	tea
	チャンス	chansu	chance;opportunity
	ちゃんと	chanto	perfectly;properly;exactly
中	ちゅう	chuu	inside;middle;among
注	ちゅう	chuu	annotation;explanatory note
中央	ちゅうおう	chuuou	centre;central;center;middle
中学	ちゅうがく	chuugaku	middle school;junior high school
中古	ちゅうこ	chuuko	(1) used;second-hand;old
中止	ちゅうし	chuushi	suspension;stoppage;discontinuance;interruption
駐車	ちゅうしゃ	chuusha	parking (e.g. car)
昼食	ちゅうしょく	chuushoku	lunch;midday meal
中心	ちゅうしん	chuushin	center;core;heart;pivot;emphasis;balance
注目	ちゅうもく	chuumoku	notice;attention;observation
注文	ちゅうもん	chuumon	order;request
長期	ちょうき	chouki	long time period
調査	ちょうさ	chousa	investigation;examination;inquiry;survey
調子	ちょうし	choushi	tune;tone;key
頂上	ちょうじょう	choujou	top;summit;peak
	ちょうだい	choudai	(1) please do for me (preceded by -te);(2) reception;being given;get
貯金	ちょきん	chokin	(bank) savings
直接	ちょくせつ	chokusetsu	direct;immediate;personal;firsthand
著者	ちょしゃ	chosha	author;writer
遂に	ついに	tsuini	finally;at last
通過	つうか	tsuuka	passage through;passing
通学	つうがく	tsuugaku	commuting to school
通行	つうこう	tsuukou	passage;passing
通じる	つうじる	tsuujiru	to run to;to lead to;to communicate;to understand
通信	つうしん	tsuushin	correspondence;communication;news;signal
捕まる	つかまる	tsukamaru	to be caught;to be arrested
掴む	つかむ	tsukamu	to seize;to catch;to grasp
疲れ	つかれ	tsukare	tiredness;fatigue
月	つき	tsuki	moon;month
付き合い	つきあい	tsukiai	association;socializing;fellowship
次々	つぎつぎ	tsugitsugi	in succession;one by one
就く	つく	tsuku	to settle in (place);to take (seat; position);to study (under teacher)
注ぐ	つぐ	tsugu	to pour (into);to irrigate;to pay
付ける	つける	tsukeru	to attach;to join;to add;to append
土	つち	tsuchi	earth;soil
続き	つづき	tsuzuki	sequel;continuation
包み	つつみ	tsutsumi	bundle;package;parcel;bale
勤め/務め	つとめ	tsutome	(1) service;duty;business;responsibility;task;(2) Buddhist religious services
繋ぐ	つなぐ	tsunagu	to tie;to fasten;to connect;to transfer (phone call)
常に	つねに	tsuneni	always;constantly
翼	つばさ	tsubasa	wings
	つまり	tsumari	in short;in brief;in other words
罪	つみ	tsumi	crime;fault;indiscretion
詰める	つめる	tsumeru	to pack;to shorten;to work out (details)
積もる	つもる	tsumoru	to pile up
梅雨	つゆ	tsuyu	rainy season;rain during the rainy season
辛い	つらい	tsurai	painful;heart-breaking
釣	つり	tsuri	Fishing
連れ	つれ	tsure	companion;company
出会い	であい	deai	meeting;rendezvous;encounter
出会う	であう	deau	to meet by chance;to come across;to happen to encounter
提案	ていあん	teian	proposal;proposition;suggestion
定期	ていき	teiki	fixed term
抵抗	ていこう	teikou	electrical resistance;resistance;opposition
提出	ていしゅつ	teishutsu	presentation;submission;filing
程度	ていど	teido	degree;amount;grade;standard;of the order of (following a number)
停留所	ていりゅうじょ	teiryuujo	bus or tram stop
	デート	deeto	date;go on a date
敵	てき	teki	enemy;rival
出来事	できごと	dekigoto	incident;affair;happening;event
適する	てきする	tekisuru	to fit;to suit
適切	てきせつ	tekisetsu	pertinent;appropriate;adequate;relevance
適度	てきど	tekido	moderate
適用	てきよう	tekiyou	applying
出来るだけ	できるだけ	dekirudake	if at all possible
	できれば	dekireba	If possible
手品	てじな	tejina	sleight of hand;conjuring trick;magic;juggling
	ですから	desukara	therefore
鉄	てつ	tetsu	iron
哲学	てつがく	tetsugaku	philosophy
手伝い	てつだい	tetsudai	help;helper;assistant
徹底	てってい	tettei	thoroughness;completeness
鉄道	てつどう	tetsudou	railroad
徹夜	てつや	tetsuya	all night;all night vigil;sleepless night
では	では	deha	chance of going out;opportunity (to succeed);moment of departure;beginning of work
手間	てま	tema	time;labour
でも	でも	demo	but;however
	デモ	demo	(abbr) demo;demonstration
典型	てんけい	tenkei	type;pattern;archetypal
天候	てんこう	tenkou	weather
電子	でんし	denshi	electron
	テント	tento	tent
伝統	でんとう	dentou	tradition;convention
天然	てんねん	tennen	nature;spontaneity
度	ど	do	counter for occurrences
問い	とい	toi	question;query
党	とう	tou	party (political)
塔	とう	tou	tower;pagoda
	どう	dou	child;servant;foolishness
答案	とうあん	touan	examination paper;examination script
同一	どういつ	douitsu	identity;sameness;similarity
	どうか	douka	copper coin
当時	とうじ	touji	at that time;in those days
動詞	どうし	doushi	verb
同時	どうじ	douji	simultaneous(ly);concurrent;same time;synchronous
	どうしても	doushitemo	by all means;at any cost;no matter what
到着	とうちゃく	touchaku	arrival
道徳	どうとく	doutoku	morals
投票	とうひょう	touhyou	voting;poll
同様	どうよう	douyou	identical;equal to;same (kind);like
同僚	どうりょう	douryou	coworker;colleague;associate
道路	どうろ	douro	road;highway
十	とお	too	10;ten
通す	とおす	toosu	to let pass;to overlook;to continue
通り	とおり	toori	in accordance with ~;following ~;~ Street;~ Avenue
通り過ぎる	とおりすぎる	toorisugiru	to pass;to pass through
都会	とかい	tokai	city
時	とき	toki	(1) time;hour;(2) occasion;moment
解く	とく	toku	to unfasten
毒	どく	doku	poison;toxicant
得意	とくい	tokui	pride;triumph;prosperity
読書	どくしょ	dokusho	reading
独身	どくしん	dokushin	bachelorhood;single;unmarried;celibate
特徴	とくちょう	tokuchou	feature;characteristic
独特	どくとく	dokutoku	peculiarity;uniqueness;characteristic
独立	どくりつ	dokuritsu	independence (e.g. Ind. Day);self-support
解ける	とける	tokeru	to come untied;to come apart
	どこか	dokoka	somewhere;anywhere
	ところが	tokoroga	however;while;even if
	ところで	tokorode	by the way;even if;no matter what
登山	とざん	tozan	mountain-climbing
都市	とし	toshi	town;city;municipal;urban
年月	としつき	toshitsuki	months and years
図書	としょ	tosho	books
年寄	としより	toshiyori	old people;the aged
閉じる	とじる	tojiru	to close (e.g. book; eyes);to shut
途端	とたん	totan	just (now; at the moment; etc.)
土地	とち	tochi	plot of land;lot;soil
突然	とつぜん	totsuzen	abruptly;suddenly;unexpectedly;all at once
	トップ	toppu	top
届く	とどく	todoku	to reach
	とにかく	tonikaku	anyhow;at any rate;anyway;somehow or other;generally speaking;in any case
飛ばす	とばす	tobasu	to skip over;to omit
飛び出す	とびだす	tobidasu	to jump out;to rush out;to fly out
留める	とめる	tomeru	to fasten;to turn off;to detain
