	あ	a	Ah	ах
申す	もうす	mousu	(humble) to be called;to say	(скромно) называться
	もうすぐ	mousugu	soon	скоро
	もし	moshi	if	если
	もちろん	mochiron	of course	конечно
	もっとも	mottomo	extremely	чрезвычайно
戻る	もどる	modoru	to turn back	возващать
木綿	もめん	momen	cotton	хлопок
	もらう	morau	to receive	получать
森	もり	mori	forest	лес
焼く	やく	yaku	to bake;to grill	печь ; жарить
約束	やくそく	yakusoku	promise	обещание
役に立つ	やくにたつ	yakunitatsu	to be helpful	быть полезным
焼ける	やける	yakeru	to burn;to be roasted	быть поджаренным; подгореым
優しい	やさしい	yasashii	kind	нежный; добый
痩せる	やせる	yaseru	to become thin	худеть
	やっと	yatto	at last	наконец
	やはり/やっぱり	yahari/yappari	as I thought;absolutely	как я думал ; абсолютно
止む	やむ	yamu	to stop	останавливаться
止める	やめる	yameru	to stop	останавливать
柔らかい	やわらかい	yawarakai	soft	мягкий
湯	ゆ	yu	hot water	горячая вода
輸出	ゆしゅつ・する	yushutsu suru	to export	экспортировать
輸入	ゆにゅう・する	yunyuu suru	to import	импортировать
指	ゆび	yubi	finger	палец
指輪	ゆびわ	yubiwa	finger ring	кольцо
夢	ゆめ	yume	dream	мечтать
揺れる	ゆれる	yureru	to shake;to sway	трясти; колебать
用	よう	you	use	использовать
用意	ようい	youi	preparation	подготовка
用事	ようじ	youji	things to do	развлечения
汚れる	よごれる	yogoreru	to get dirty	пачкаться
予習	よしゅう	yoshuu	preparation for a lesson	подготовка к уроку
予定	よてい	yotei	arrangement	расположение
予約	よやく	yoyaku	reservation	бронирование
寄る	よる	yoru	to visit	посещать
喜ぶ	よろこぶ	yorokobu	to be delighted	быть в восторге; радоваться
	よろしい	yoroshii	(respectful) OK;all right	(уважительно) хороший; хорошо
理由	りゆう	riyuu	reason	причина
利用	りよう	riyou	utilization	использование
両方	りょうほう	ryouhou	both sides	обе стороны
旅館	りょかん	ryokan	Japanese hotel	японский отель
留守	るす	rusu	absence	пребывание вне дома; отсутствие
冷房	れいぼう	reibou	air conditioning	охлаждение (кондиционирование) воздуха
歴史	れきし	rekishi	history	история
	レジ	reji	register	регистр
	レポート/リポート	repooto/ripooto	report	отчет
連絡	れんらく	renraku	contact	контакт
	ワープロ	waapuro	word processor	текстовый процессор
沸かす	わかす	wakasu	to boil;to heat	кипятить
別れる	わかれる	wakareru	to separate	отделять
沸く	わく	waku	to boil; to grow hot;to get excited	кипятить
訳	わけ	wake	meaning;reason	смысл; причина
忘れ物	わすれもの	wasuremono	lost article	потерянная вещь
笑う	わらう	warau	to laugh;to smile	смеяться; улыбаться
割合	わりあい	wariai	rate;ratio;percentage	ставка; коэффициент ; процент
割れる	われる	wareru	to break	ломать
泳ぎ方	およぎかた	oyogikata	way of swimming	стиль плавания
