	あっ	a	ах
砂漠	さばく	sabaku	пустыня
差別	さべつ	sabetsu	дискриминация; различие; дифференциация
作法	さほう	sahou	манеры; этикет; приличия
様々	さまざま	samazama	разнообразные; различные
覚ます	さます	samasu	будить
覚める	さめる	sameru	чтобы разбудить; проснуться
左右	さゆう	sayuu	слева и справа; влияние, контроль 
皿	さら	sara	тарелка; блюдо
更に	さらに	sarani	кроме того; и снова, в конце концов; все больше и больше
去る	さる	saru	оставлять; уходить
猿	さる	saru	обезьяна
騒ぎ	さわぎ	sawagi	шум 
参加	さんか	sanka	участие
参考	さんこう	sankou	ссылка; консультация
賛成	さんせい	sansei	утверждение; соглашение; поддержка
酸素	さんそ	sanso	кислород
散歩	さんぽ	sanpo	прогулка
氏	し	shi	фамилия; линия; рождения
詩	し	shi	Стихотворение; стих поэзии
幸せ	しあわせ	shiawase	счастье; удача; удача; благословение
	ジーンズ	jiinzu	джинсы
ジェット機	ジェットき	jettoki	реактивный самолет
直に	じかに	jikani	немедленно; легко; непосредственно
	しかも	shikamo	кроме того, кроме того, тем не менее, и в то же
叱る	しかる	shikaru	ругать
式	しき	shiki	уравнение; формула; церемония
直	じき	jiki	искренне; сразу; точно
時期	じき	jiki	время; сезон; период
支給	しきゅう	shikyuu	оплата; пособие
	しきりに	shikirini	часто; неоднократно; постоянно; нетерпением
刺激	しげき	shigeki	стимул; импульс; стимулом
資源	しげん	shigen	ресурсы
事件	じけん	jiken	события; дело; инцидент
時刻	じこく	jikoku	мгновенный; время; момент
自殺	じさつ	jisatsu	самоубийство
事実	じじつ	jijitsu	правда; реальность
支出	ししゅつ	shishutsu	расходов; расходы
事情	じじょう	jijou	обстоятельства; условия; ситуация; причины
詩人	しじん	shijin	поэт
自身	じしん	jishin	по себе; лично
沈む	しずむ	shizumu	тонуть; чувствовать себя подавленным
自然	しぜん	shizen	природа; естественный
思想	しそう	shisou	мысль; идея
舌	した	shita	язык
次第	しだい	shidai	порядок; побстоятельства 
事態	じたい	jitai	ситуация; нынешнее состояние дел
従う	したがう	shitagau	соблюдать (правила); подчиняться; следовать; сопровождать
したがって	したがって	shitagatte	поэтому, следовательно, в соответствии с
支度	したく	shitaku	подготовка
親しい	したしい	shitashii	близкий; дружеский
質	しつ	shitsu	качество, природа (человека)
失業	しつぎょう	shitsugyou	безработица
実験	じっけん	jikken	эксперимент
実現	じつげん	jitsugen	реализация; материализация; реализация
実行	じっこう	jikkou	реализация; практика; производительность; выполнение (например, программа)
実際	じっさい	jissai	фактическое состояние; статус-кво
実施	じっし	jisshi	проведение в жизнь; осуществление
	じっと	jitto	жестко; твердо; терпеливо; спокойно
実に	じつに	jitsuni	действительно, по-настоящему; безусловно
実は	じつは	jitsuha	как по сути; кстати
失望	しつぼう	shitsubou	разочарование; отчаяние
支店	してん	shiten	филиал 
指導	しどう	shidou	лидерство; руководство 
自動	じどう	jidou	автоматический 
品	しな	shina	вещь; качество; товар 
支配	しはい	shihai	правило, контроль; направление
芝居	しばい	shibai	спектакль
	しばしば	shibashiba	часто; снова и снова 
芝生	しばふ	shibafu	газон
支払	しはらい	shiharai	оплата
支払う	しはらう	shiharau	платить
死亡	しぼう	shibou	смерть; смертность
資本	しほん	shihon	фонды, капитал
姉妹	しまい	shimai	сестры
	しまう	shimau	заканчивать; полностью сделать что-то
	しまった	shimatta	Черт побери!
自慢	じまん	jiman	гордость; хвастовство
事務	じむ	jimu	бизнес; работа в офисе
示す	しめす	shimesu	для обозначения; показать, указать; чтобы указать
占める	しめる	shimeru	занимать (место, положение, позиции и т.п.)
下	しも	shimo	под, ниже; под
霜	しも	shimo	мороз
	じゃあ	jaa	хорошо, ну а затем
借金	しゃっきん	shakkin	долг; кредит
	しゃべる	shaberu	общаться; болтать
邪魔	じゃま	jama	помеха; неудобство
週	しゅう	shuu	неделя
州	しゅう	shuu	отмель
十	じゅう	juu	10; десять
銃	じゅう	juu	пистолет
周囲	しゅうい	shuui	окрестности; окружность 
収穫	しゅうかく	shuukaku	сбор урожая
週間	しゅうかん	shuukan	 еженедельный
宗教	しゅうきょう	shuukyou	религия
重視	じゅうし	juushi	важность; внимание
就職	しゅうしょく	shuushoku	трудоустройство
	ジュース	juusu	сок
修正	しゅうせい	shuusei	поправка; коррекция; пересмотр; модификация
渋滞	じゅうたい	juutai	пробка (трафика); задержка; застой
重大	じゅうだい	juudai	серьезный; важный; весомый
住宅	じゅうたく	juutaku	дом; жилье
集団	しゅうだん	shuudan	группа 
集中	しゅうちゅう	shuuchuu	концентрация;
収入	しゅうにゅう	shuunyuu	доход; поступления 
住民	じゅうみん	juumin	граждане; жители; население
重要	じゅうよう	juuyou	важный; знаменательный; важно 
修理	しゅうり	shuuri	ремонт 
主義	しゅぎ	shugi	доктрина; правило; принцип
宿泊	しゅくはく	shukuhaku	жилье
手術	しゅじゅつ	shujutsu	хирургическая операция
首相	しゅしょう	shushou	премьер-министр
手段	しゅだん	shudan	средство; способ; мера
主張	しゅちょう	shuchou	претензии; запрос; настойчивость; утверждение
出身	しゅっしん	shusshin	выпускник; родом из
出席	しゅっせき	shusseki	посещаемость; присутствие
出発	しゅっぱつ	shuppatsu	отправление
出版	しゅっぱん	shuppan	публикация
首都	しゅと	shuto	столица
主婦	しゅふ	shufu	домохозяйка; хозяйка
主要	しゅよう	shuyou	главный; основной; основной; основным
需要	じゅよう	juyou	спрос; запрос
種類	しゅるい	shurui	Разнообразие; вид; Тип
順	じゅん	jun	порядок; очередь
瞬間	しゅんかん	shunkan	момент 
順調	じゅんちょう	junchou	благоприятный
順番	じゅんばん	junban	порядок вещей
準備	じゅんび	junbi	подготовка; договоренность 
使用	しよう	shiyou	использование
小	しょう	shou	небольшой
章	しょう	shou	глава книги; значок, эмблема
賞	しょう	shou	премия; награда
障害	しょうがい	shougai	препятствием; препятствием (ошибка); повреждения
奨学金	しょうがくきん	shougakukin	стипендия
乗客	じょうきゃく	joukyaku	пассажир
上京	じょうきょう	joukyou	прибыть в Токио 
状況	じょうきょう	joukyou	состояние дел; ситуация; обстоятельства
条件	じょうけん	jouken	условия; термины
正午	しょうご	shougo	полдень; середина дня
正直	しょうじき	shoujiki	честность; откровенность
常識	じょうしき	joushiki	здравый смысл
少女	しょうじょ	shoujo	дочь; девочка; девушка
少々	しょうしょう	shoushou	всего минуту; небольшое количество
症状	しょうじょう	shoujou	симптомы; состояние
生じる	しょうじる	shoujiru	производить; возникнать
招待	しょうたい	shoutai	приглашение
状態	じょうたい	joutai	состояние; ситуация; обстоятельства 
上達	じょうたつ	joutatsu	улучшение; продвижение; прогресс
冗談	じょうだん	joudan	шутка
承知	しょうち	shouchi	согласие, принятие 
上等	じょうとう	joutou	превосходство; первый класс 
衝突	しょうとつ	shoutotsu	столкновения; конфликт
商人	しょうにん	shounin	трейдер; продавец
承認	しょうにん	shounin	признание; утверждение; согласие 
少年	しょうねん	shounen	юноша; несовершеннолетний
商売	しょうばい	shoubai	торговля; бизнес; коммерция 
消費	しょうひ	shouhi	потребление; расходы
商品	しょうひん	shouhin	товар; предмет торговли
消防	しょうぼう	shoubou	пожаротушение; пожарная
情報	じょうほう	jouhou	информация 
証明	しょうめい	shoumei	доказательство; проверка
女王	じょおう	joou	королева
職	しょく	shoku	занятость
職業	しょくぎょう	shokugyou	оккупация; бизнес
食事	しょくじ	shokuji	еда
食卓	しょくたく	shokutaku	обеденный стол
食品	しょくひん	shokuhin	товар; продукты питания
植物	しょくぶつ	shokubutsu	растений; растительность
食物	しょくもつ	shokumotsu	питание; продукты питания
食欲	しょくよく	shokuyoku	аппетит
食料	しょくりょう	shokuryou	еда
食糧	しょくりょう	shokuryou	положений; рационы
書斎	しょさい	shosai	исследование
女子	じょし	joshi	женщина; девушка
助手	じょしゅ	joshu	помощник
徐々に	じょじょに	jojoni	медленно; мало-помалу; постепенно; неуклонно; спокойно
署名	しょめい	shomei	подпись
書物	しょもつ	shomotsu	книги
女優	じょゆう	joyuu	актриса
処理	しょり	shori	обработка; управление
書類	しょるい	shorui	документы 
知らせ	しらせ	shirase	уведомление
尻	しり	shiri	зад; хвост
印	しるし	shirushi	знак; символ
城	しろ	shiro	замок
進学	しんがく	shingaku	поступление в учебное заведение более высокой ступени
神経	しんけい	shinkei	нерв; чувствительность
真剣	しんけん	shinken	серьезность
信仰	しんこう	shinkou	(религиозная) вера 
信号	しんごう	shingou	светофор; сигнал; знак;
人工	じんこう	jinkou	искусственный; человеческий труд 
深刻	しんこく	shinkoku	серьезный
診察	しんさつ	shinsatsu	медицинский осмотр
人種	じんしゅ	jinshu	раса
信じる	しんじる	shinjiru	верить 
人生	じんせい	jinsei	человеческая жизнь
親戚	しんせき	shinseki	относительный
新鮮	しんせん	shinsen	свежий
心臓	しんぞう	shinzou	сердце
身体	しんたい	shintai	тело
身長	しんちょう	shinchou	рост (тела)
慎重	しんちょう	shinchou	усмотрение; благоразумие
心配	しんぱい	shinpai	волнение; озабоченность; беспокойство
審判	しんぱん	shinpan	судейство; процесс; суждение; судья 
人物	じんぶつ	jinbutsu	характер; личность; персонаж; 
進歩	しんぽ	shinpo	прогресс, развитие
親友	しんゆう	shinyuu	близкий друг 
信用	しんよう	shinyou	уверенность; вера
信頼	しんらい	shinrai	доверие; уверенность
心理	しんり	shinri	психология
人類	じんるい	jinrui	человечество
巣	す	su	гнездо; улей; паутина
図	ず	zu	рисунок; иллюстрация
水準	すいじゅん	suijun	уровень воды; стандарт
推薦	すいせん	suisen	рекомендация
	スイッチ	suicchi	переключатель
随分	ずいぶん	zuibun	чрезвычайно
睡眠	すいみん	suimin	сон
数	すう	suu	число; фигура
数字	すうじ	suuji	цифра; фигура
	スープ	suupu	суп
末	すえ	sue	окончание
姿	すがた	sugata	фигура; форма
	スキー	sukii	катание на лыжах
空く	すく	suku	открывать; становиться пустым
救う	すくう	sukuu	спасать
優れる	すぐれる	sugureru	превосходить
	スケート	sukeeto	катание
	すごい	sugoi	ужасно; потрясающе; удивительно
少しも	すこしも	sukoshimo	что-нибудь 
過ごす	すごす	sugosu	проходить; преодолевать
筋	すじ	suji	мышцы; строка; линия
進める	すすめる	susumeru	продвигаться; прогрессировать
勧める	すすめる	susumeru	рекомендовать; советовать; поощрять 
	スター	sutaa	звезда
	スタイル	sutairu	стиль
	スタンド	sutando	стоять
頭痛	ずつう	zutsuu	головная боль
	ずっと	zutto	всегда; прямо; всё время; сплошь
	すてき	suteki	прекрасный; удивительный
既に	すでに	sudeni	уже 
	すなわち	sunawachi	то есть, а именно 
素晴らしい	すばらしい	subarashii	замечательно; великолепный; великолепный
	スピーチ	supiichi	речь
全て	すべて	subete	все; полностью 
済ませる	すませる	sumaseru	завершать
角	すみ	sumi	внутренний угол;
為る	する	suru	делать
すると	すると	suruto	вслед за этим; вследствие этого
鋭い	するどい	surudoi	резкий; острый
背	せい	sei	высота; рост
正	せい	sei	верный; правильный
生	せい	sei	необработанный; живой
性	せい	sei	пол
所為	せい	sei	причина; вина; из-за
税	ぜい	zei	налог
性格	せいかく	seikaku	характер; личность
正確	せいかく	seikaku	точный; пунктуальный
世紀	せいき	seiki	век; эпоха
請求	せいきゅう	seikyuu	спрос; заявление; запрос
税金	ぜいきん	zeikin	налог; долг
清潔	せいけつ	seiketsu	чистый
制限	せいげん	seigen	ограничение; сдержанность; ограничение
成功	せいこう	seikou	успех 
生産	せいさん	seisan	производство 
正式	せいしき	seishiki	форма; официальный; формальность
精神	せいしん	seishin	ум; душа; дух;
成人	せいじん	seijin	взрослый; совершеннолетний
精々	せいぜい	seizei	самое большее, в лучшем случае; до предела; насколько это возможно
成績	せいせき	seiseki	результаты; запись
製造	せいぞう	seizou	производство 
贅沢	ぜいたく	zeitaku	роскошь; расточительность
成長	せいちょう	seichou	рост 
制度	せいど	seido	учреждение, организация
青年	せいねん	seinen	молодежь; молодой человек
製品	せいひん	seihin	промышленные товары; готовая продукция
政府	せいふ	seifu	правительство; администрация
生物	せいぶつ	seibutsu	сырая пища
生命	せいめい	seimei	жизнь; существование
整理	せいり	seiri	сортировка; расположение; регулирование
咳	せき	seki	кашель
石炭	せきたん	sekitan	уголь
責任	せきにん	sekinin	обязанность; ответственность
石油	せきゆ	sekiyu	масло; нефтяной; керосин
世間	せけん	seken	мир; общество
説	せつ	setsu	теория
積極的	せっきょくてき	sekkyokuteki	положительный; активный
設計	せっけい	sekkei	план, дизайн
絶対	ぜったい	zettai	абсолютный; безусловный
	セット	setto	набор
設備	せつび	setsubi	оборудование; устройство; объекты; установка
絶滅	ぜつめつ	zetsumetsu	уничтожение; вымирание
節約	せつやく	setsuyaku	экономия 
是非	ぜひ	zehi	конечно; обязательно
責める	せめる	semeru	судить; критиковать
世話	せわ	sewa	уход; помочь;
善	ぜん	zen	благость; право; добродетель
全	ぜん	zen	все; полная, в целом 
全員	ぜんいん	zenin	все члены все руки; полностью
専攻	せんこう	senkou	специализация
全国	ぜんこく	zenkoku	общенациональный
先日	せんじつ	senjitsu	на днях; несколько дней назад
前者	ぜんしゃ	zensha	бывший
選手	せんしゅ	senshu	игрок; команда
前進	ぜんしん	zenshin	продвижение; прогресс
全然	ぜんぜん	zenzen	полностью 
	センター	sentaa	центр
全体	ぜんたい	zentai	полнота; все 
選択	せんたく	sentaku	отбор; выбор
そう	そう	sou	так
象	ぞう	zou	слон
騒音	そうおん	souon	шум
増加	ぞうか	zouka	увеличиение; дополнение
操作	そうさ	sousa	операция; управление; обработка
掃除	そうじ	souji	очистка; подметание
想像	そうぞう	souzou	воображение; догадка
相続	そうぞく	souzoku	преемственность; наследование
相談	そうだん	soudan	консультации; обсуждение
装置	そうち	souchi	оборудование, монтаж; аппарат
相当	そうとう	soutou	справедливо; терпимо 
速度	そくど	sokudo	скорость 
底	そこ	soko	пол; дно
	そこで	sokode	соответственно; в этой связи
組織	そしき	soshiki	организация; строительство; ткань; система
	そして	soshite	и
注ぐ	そそぐ	sosogu	наливать; для орошать;лить; проливать
育つ	そだつ	sodatsu	поднимать (ребенка); на воспитание; расти (до)
	そっくり	sokkuri	все; вообще; полностью; быть точно так же как 
	そっと	sotto	поверхность земли
袖	そで	sode	рукав
備える	そなえる	sonaeru	оборудовать; устанавливать
	そのうち	sonouchi	в конце концов, рано или поздно, из ранее упомянутых
	そのまま	sonomama	без изменений; как сейчас
側	そば	soba	сторона; край; рядом
	ソファー	sofaa	диван; софа
粗末	そまつ	somatsu	простой; грубый;бедный
	それぞれ	sorezore	каждый; порознь
	それでも	soredemo	и все же; тем не менее, даже в этом случае; несмотря на
	それと	soreto	к тому же
	それとも	soretomo	или 
損	そん	son	gотеря; недостаток
損害	そんがい	songai	повреждение; травма
尊敬	そんけい	sonkei	уважение; достоинство; честь
存在	そんざい	sonzai	существование 
尊重	そんちょう	sonchou	уважение; достоинство
田	た	ta	рисовое поле
他	た	ta	другие (места и вещи)
対	たい	tai	пара;набор
台	だい	dai	подставка; стеллаж; трибуна
題	だい	dai	название; предмет; тема 
体育	たいいく	taiiku	гимнастика; легкая атлетика
体温	たいおん	taion	температура 
大会	たいかい	taikai	конвенция;митинг
大気	たいき	taiki	атмосфера
代金	だいきん	daikin	цена; оплата, стоимость; заряд
退屈	たいくつ	taikutsu	скука 
滞在	たいざい	taizai	остановка где-либо; пребывание
大使	たいし	taishi	посол
大した	たいした	taishita	Значительный; великий; важно;
対象	たいしょう	taishou	целевой объект; субъект налогообложения
大臣	だいじん	daijin	член совета министров
対する	たいする	taisuru	противостоять
大戦	たいせん	taisen	Великая война; великая битва
大抵	たいてい	taitei	обычно; как правило,
態度	たいど	taido	отношение; манера
大統領	だいとうりょう	daitouryou	президент; главный исполнительный
大半	たいはん	taihan	в основном, как правило,
代表	だいひょう	daihyou	представитель; делегация; пример; модель
大部分	だいぶぶん	daibubun	большинство
	タイプライター	taipuraitaa	пишущая машинка
大変	たいへん	taihen	ужасно; очень
逮捕	たいほ	taiho	арест; захват
	ダイヤ	daiya	схема; график
太陽	たいよう	taiyou	солнце 
平ら	たいら	taira	плоскость; уровень; гладкий;равнина
代理	だいり	dairi	представительство; агентство; заместитель; агент
大陸	たいりく	tairiku	континент
倒す	たおす	taosu	бросить; сбить 
	タオル	taoru	полотенце
だが	だが	daga	но
互い	たがい	tagai	взаимный; обратный
宝	たから	takara	сокровище
だから	だから	dakara	так, поэтому
宅	たく	taku	дом 
	だけど	dakedo	однако
確かめる	たしかめる	tashikameru	выяснять
多少	たしょう	tashou	более или менее; несколько; немного; некоторые
助ける	たすける	tasukeru	помгать; сохранять; спасать
唯	ただ	tada	 лишь; только 
戦い	たたかい	tatakai	битва; борьба; конфликт
戦う	たたかう	tatakau	бороться 
叩く	たたく	tataku	хлопать; бить
直ちに	ただちに	tadachini	сразу; немедленно; непосредственно 
立ち上がる	たちあがる	tachiagaru	вставать
立場	たちば	tachiba	точка зрения; положение; ситуация
経つ	たつ	tatsu	проходить (о времени)
達する	たっする	tassuru	достигать; добираться до
唯	たった	tatta	лишь; только 
	だって	datte	но; потому что
	たっぷり	tappuri	полном объеме; достаточно
縦	たて	tate	ширина; длина
	たとえ	tatoe	сравнение; пример
谷	たに	tani	долина
他人	たにん	tanin	другой человек; незнакомец
種	たね	tane	семя; материал; причина; источник
束	たば	taba	связка; пучок
度	たび	tabi	кол-во раз
旅	たび	tabi	путешествия; поездка 
	たびたび	tabitabi	часто; неоднократно
多分	たぶん	tabun	возможно; вероятно
玉	たま	tama	мяч; сфера; монета
球	たま	tama	сфера; мяч
弾	たま	tama	пуля 
偶	たま	tama	четное число; пара; муж и жена 
偶々	たまたま	tamatama	случайно; неожиданно 
	たまらない	tamaranai	невыносимо
黙る	だまる	damaru	молчать
駄目	だめ	dame	бесполезно; ничего хорошего; нельзя
試し	ためし	tameshi	процесс; тест
試す	ためす	tamesu	пытаться; тестироваться
便り	たより	tayori	новость; весть; информация, переписка; письмо
頼る	たよる	tayoru	полагаться на; прибегнуть к; зависеть от
誰か	だれか	dareka	кто-то 
段	だん	dan	шаг; лестница; лестничный пролет; класс; звание; уровень
単位	たんい	tani	Блок; номинал; семестр (в школе)
単語	たんご	tango	(как правило) односимвольное слово
男子	だんし	danshi	молодежь; молодой человек
単純	たんじゅん	tanjun	простота
誕生	たんじょう	tanjou	рождение
	ダンス	dansu	танец
団体	だんたい	dantai	организация; объединение
担当	たんとう	tantou	исполнение обязанностей
単なる	たんなる	tannaru	просто 
単に	たんに	tanni	просто; только 
地	ち	chi	земля
地位	ちい	chii	(социальное) положение; статус
地域	ちいき	chiiki	площадь; область
	チーズ	chiizu	сыр
	チーム	chiimu	команда
知恵	ちえ	chie	мудрость; остроумие; прозорливость; смысл; интеллект 
地下	ちか	chika	подвал; подземный
違い	ちがい	chigai	разница; несоответствие
違いない	ちがいない	chigainai	точно; без сомнения
近頃	ちかごろ	chikagoro	в последнее время; недавно 
地球	ちきゅう	chikyuu	земля
地区	ちく	chiku	район; раздел; сектор
遅刻	ちこく	chikoku	опоздание 
知事	ちじ	chiji	губернатор префектуры
知識	ちしき	chishiki	знание; информация
父親	ちちおや	chichioya	отец
知能	ちのう	chinou	способность; ум
地平線	ちへいせん	chiheisen	горизонт
地方	ちほう	chihou	площадь; местность; район; область; побережье
茶	ちゃ	cha	чай
	チャンス	chansu	шанс; возможность
	ちゃんと	chanto	прекрасно; должным образом; точно
中	ちゅう	chuu	внутри; середина; среди
注	ちゅう	chuu	комментарий; примечание
中央	ちゅうおう	chuuou	центр 
中学	ちゅうがく	chuugaku	средняя школа 
中古	ちゅうこ	chuuko	бывшего употребления
中止	ちゅうし	chuushi	 остановка; прекращение; прерывание
駐車	ちゅうしゃ	chuusha	парковка 
昼食	ちゅうしょく	chuushoku	обед
中心	ちゅうしん	chuushin	центр; ядро; сердце; стержень; баланс
注目	ちゅうもく	chuumoku	уведомление; внимание; наблюдение
注文	ちゅうもん	chuumon	запрос
長期	ちょうき	chouki	долгое время
調査	ちょうさ	chousa	расследование; экспертиза; запрос; опрос
調子	ちょうし	choushi	мелодия; тон; ключ
頂上	ちょうじょう	choujou	вершина; пик
	ちょうだい	choudai	пожалуйста, сделать для меня (предшествует форме на て); прием 
貯金	ちょきん	chokin	экономия
直接	ちょくせつ	chokusetsu	прямой; немедленно; персональный 
著者	ちょしゃ	chosha	автор, писатель
遂に	ついに	tsuini	в конце концов
通過	つうか	tsuuka	прохождение через; мимоходом
通学	つうがく	tsuugaku	посещение школы
通行	つうこう	tsuukou	проход; прохождение
通じる	つうじる	tsuujiru	вести;доходить до; быть проложенным
通信	つうしん	tsuushin	связь; сигнал
捕まる	つかまる	tsukamaru	быть пойманным; быть арестованным
掴む	つかむ	tsukamu	захватить; поймать 
疲れ	つかれ	tsukare	усталость 
月	つき	tsuki	луна; месяц
付き合い	つきあい	tsukiai	знакомство; общение
次々	つぎつぎ	tsugitsugi	последовательно, один за другим
就く	つく	tsuku	поступать (на должность; приступать
注ぐ	つぐ	tsugu	лить; наливать
付ける	つける	tsukeru	приложить; присоединить; добавить 
土	つち	tsuchi	земля; почва
続き	つづき	tsuzuki	продолжение
包み	つつみ	tsutsumi	свёрток; пакет; обёртка
勤め/務め	つとめ	tsutome	обслуживание; обязанность;ответственность; буддийские религиозные службы
繋ぐ	つなぐ	tsunagu	связывать;подключать; передавать (телефонный звонок)
常に	つねに	tsuneni	всегда; постоянно
翼	つばさ	tsubasa	крылья
	つまり	tsumari	короче говоря; в двух словах; другими словами
罪	つみ	tsumi	преступление; вина 
詰める	つめる	tsumeru	упаковывать; сокращать 
積もる	つもる	tsumoru	накапливаться
梅雨	つゆ	tsuyu	сезон дождей 
辛い	つらい	tsurai	тяжёлый; горький
釣	つり	tsuri	рыбалка
連れ	つれ	tsure	компаньон; компания
出会い	であい	deai	встреча
出会う	であう	deau	встретиться (обычно случайно)
提案	ていあん	teian	предложение
定期	ていき	teiki	фиксированный срок
抵抗	ていこう	teikou	электрическое сопротивление; сопротивление; оппозиция
提出	ていしゅつ	teishutsu	предъявление; представление; 
程度	ていど	teido	степень; мера; уровень; пределы
停留所	ていりゅうじょ	teiryuujo	автобусная или трамвайная остановка
	デート	deeto	дата; свидание
敵	てき	teki	враг; сопернико
出来事	できごと	dekigoto	инцидент; дело; событие
適する	てきする	tekisuru	соответствовать; удовлетворять (требованиям)
適切	てきせつ	tekisetsu	уместно; необходимо; адекватно; актуально
適度	てきど	tekido	умеренность
適用	てきよう	tekiyou	применение
出来るだけ	できるだけ	dekirudake	насколько возможно
	できれば	dekireba	если это возможно
手品	てじな	tejina	ловкость рук; уловка; жонглирование
	ですから	desukara	поэтому
鉄	てつ	tetsu	железо
哲学	てつがく	tetsugaku	философия
手伝い	てつだい	tetsudai	помощь; помощник, ассистент
徹底	てってい	tettei	тщательность; полнота
鉄道	てつどう	tetsudou	железная дорога
徹夜	てつや	tetsuya	вся ночь; бессонная ночь
では	では	deha	возможность выйти откуда-л.
手間	てま	tema	время; труд
でも	でも	demo	но, однако
	デモ	demo	демонстрация
典型	てんけい	tenkei	классическая форма; образец; типовой экземпляр
天候	てんこう	tenkou	погода
電子	でんし	denshi	электрон
	テント	tento	палатка
伝統	でんとう	dentou	традиция
天然	てんねん	tennen	природа; естественность
度	ど	do	счетчик для вхождений
問い	とい	toi	вопрос; запрос
党	とう	tou	партия (политическая)
塔	とう	tou	башня; пагода
	どう	dou	ребенок 
答案	とうあん	touan	экзаменационная работа 
同一	どういつ	douitsu	идентичность; сходство
	どうか	douka	медная монета
当時	とうじ	touji	в то время, в те дни
動詞	どうし	doushi	глагол
同時	どうじ	douji	одновременно; то же время; синхронно
	どうしても	doushitemo	всеми средствами; любой ценой; независимо от того, что
到着	とうちゃく	touchaku	прибытие
道徳	どうとく	doutoku	нравы
投票	とうひょう	touhyou	голосование; опрос
同様	どうよう	douyou	такой же; похожий
同僚	どうりょう	douryou	сотрудник; коллега 
道路	どうろ	douro	дорога; шоссе
十	とお	too	десять
通す	とおす	toosu	пропускать; не заметить; продолжать
通り	とおり	toori	в соответствии с ч-л; следующее ~; улица 
通り過ぎる	とおりすぎる	toorisugiru	проходить через
都会	とかい	tokai	город
時	とき	toki	время; час; момент
解く	とく	toku	развязывать; распускать
毒	どく	doku	яд
得意	とくい	tokui	гордость; триумф; процветание
読書	どくしょ	dokusho	чтение
独身	どくしん	dokushin	холостой; одинарный; одинокий
特徴	とくちょう	tokuchou	функция; характеристика
独特	どくとく	dokutoku	особенность; уникальность; характеристика
独立	どくりつ	dokuritsu	независимость
解ける	とける	tokeru	быть развязанным, распутанным
	どこか	dokoka	где-то 
	ところが	tokoroga	однако, в то время, даже если
	ところで	tokorode	кстати; даже если; независимо от того, что
登山	とざん	tozan	альпинизм
都市	とし	toshi	город 
年月	としつき	toshitsuki	месяцы и годы
図書	としょ	tosho	книги
年寄	としより	toshiyori	люди в возрасте
閉じる	とじる	tojiru	закрывать (например книгу; глаза) 
途端	とたん	totan	сейчас; на данный момент 
土地	とち	tochi	земельный участок 
突然	とつぜん	totsuzen	неожиданно; все сразу
	トップ	toppu	топ
届く	とどく	todoku	достичь
	とにかく	tonikaku	во всяком случае; так или иначе; так или иначе; вообще говоря 
飛ばす	とばす	tobasu	пропустить; опустить
飛び出す	とびだす	tobidasu	выпрыгнуть; выбежать; вылететь
留める	とめる	tomeru	останавливать; отключать; задерживать
友	とも	tomo	друг; приятель
共に	ともに	tomoni	обмена с; участвовать в
土曜	どよう	doyou	суббота
虎	とら	tora	тигр
	ドライブ	doraibu	поездка на автомобиле; вождение
	トラック	torakku	грузовик; трек
	ドラマ	dorama	драма
	トランプ	toranpu	игральные карты
取り上げる	とりあげる	toriageru	дисквалифицировать; конфисковать; лишить
努力	どりょく	doryoku	большое усилие; напряжение; усилия
どれ	どれ	dore	межд. ну, ну-ка; который (из трех или более)
	ドレス	doresu	платье
取れる	とれる	toreru	быть взятым, полученным
泥	どろ	doro	грязь
	とん	ton	тонна
	とんでもない	tondemonai	нелепый; ужасный; возмутительный; неожиданный; невероятный;
	どんな	donna	что; какие
	どんなに	donnani	как; сколько
	トンネル	tonneru	туннель
名	な	na	имя; название
内容	ないよう	naiyou	содержание; содержимое
	なお	nao	еще; все еще; подобно
仲	なか	naka	отношение; отношения
流す	ながす	nagasu	лить; проливать (кровь, слезы) 
	なかなか	nakanaka	очень; значительно;
半ば	なかば	nakaba	половина; полу-
仲間	なかま	nakama	сотрудник; коллега; товарищ
眺め	ながめ	nagame	сцена; вид; перспектива, прогноз
眺める	ながめる	nagameru	наблюдать; смотреть на
流れ	ながれ	nagare	поток 
流れる	ながれる	nagareru	течь; плыть
無し	なし	nashi	без
	なぜなら	nazenara	потому что
謎	なぞ	nazo	загадка; головоломка
納得	なっとく	nattoku	согласие; понимание
等	など	nado	и т.д. 
何か	なにか	nanika	что-то
	なにも	nanimo	ничего
鍋	なべ	nabe	кастрюля; горшок
生	なま	nama	сырой; необработанный
怠ける	なまける	namakeru	сидеть сложа руки; пренебрегать
波	なみ	nami	волна
涙	なみだ	namida	слеза
悩む	なやむ	nayamu	страдать; мучиться
為る/成る	なる	naru	стать
縄	なわ	nawa	веревка 
何で	なんで	nande	почему? зачем?
何でも	なんでも	nandemo	всеми средствами 
何とか	なんとか	nantoka	как-то; так или иначе 
似合う	にあう	niau	соответствовать; быть к лицу
匂い	におい	nioi	запах 
苦手	にがて	nigate	слабое место
握る	にぎる	nigiru	держать в руке
日	にち	nichi	солнце; день
日常	にちじょう	nichijou	повседневность; регулярно; обычно
日曜	にちよう	nichiyou	воскресенье
日光	にっこう	nikkou	солнечный свет
日中	にっちゅう	nicchuu	день 
	にっこり	nikkori	улыбаться
入院	にゅういん	nyuuin	госпитализация
入学	にゅうがく	nyuugaku	поступление в школу или университет
入場	にゅうじょう	nyuujou	вход, вход; ввода
