嗚呼	ああ	aa	Ah!, Oh!, Alas!	Ах!; О!; Увы !
形成	けいせい	keisei	formation	формирование
形勢	けいせい	keisei	condition, situation, prospects	состояние; ситуация; перспективы
軽率	けいそつ	keisotsu	rash, thoughtless, careless, hasty	торопливый; опрометчивый; необдуманный
携帯	けいたい	keitai	carrying something	переносной
形態	けいたい	keitai	form, shape, figure	форма; фигура
刑罰	けいばつ	keibatsu	judgement, penalty, punishment	суждение; штраф; наказание
経費	けいひ	keihi	expenses, cost, outlay	расходы; затраты
警部	けいぶ	keibu	police inspector	инспектор полиции
軽蔑	けいべつ	keibetsu	scorn, disdain	презрение;
経歴	けいれき	keireki	personal history, career	личная история; карьера
経路	けいろ	keiro	course, route, channel	маршрут; путь; курс
汚す	けがす	kegasu	to disgrace, to dishonour	опозорить; обесчестить
汚らわしい	けがらわしい	kegarawashii	filthy, unfair	грязный; несправедливый
汚れ	けがれ	kegare	uncleanness, impurity, disgrace	нечистота; позор; гпязь
汚れる	けがれる	kegareru	to get dirty, to become dirty	испачкаться; стать грязным
獣	けだもの	kedamono	beast, brute	зверь; скотина
吝嗇	けち	kechi	stinginess, miser, miserliness, skinflint, tightwad, niggard, pinching pennies	скупость; скряга; жмот
結核	けっかく	kekkaku	tuberculosis, tubercule	туберкулез
血管	けっかん	kekkan	blood vessel	кровеносный сосуд
決行	けっこう	kekkou	doing (with resolve), carrying out (i.e. a plan)	решительные действия
決算	けっさん	kessan	balance sheet, settlement of accounts	бухгалтерский баланс; расчет
決勝	けっしょう	kesshou	decision of a contest, finals (in sports)	решение конкурсе; финал (в спорте)
結晶	けっしょう	kesshou	crystal, crystallization	кристалл; кристаллизация
結成	けっせい	kessei	formation	формирование
結束	けっそく	kessoku	union, unity	союз; единство
傑	けつ	ketsu	excellence	превосходство
決意	けつい	ketsui	decision, determination	решение; определение
決議	けつぎ	ketsugi	resolution, vote, decision	разрешение; голосование
結合	けつごう	ketsugou	combination, union	сочетание; объединение
決断	けつだん	ketsudan	decision, determination	решение; определение
欠乏	けつぼう	ketsubou	want, shortage, famine	нехватка; недостача; дефицит
蹴飛ばす	けとばす	ketobasu	to kick away, to kick off, to kick (someone), to refuse, to reject	прогнать; чтобы пнуть ; отказаться
貶す	けなす	kenasu	to speak ill of	говорить плохо о ч-л
煙たい	けむたい	kemutai	smoky, feeling awkward	дымчатый; чувствуя неловкость
煙る	けむる	kemuru	to smoke (e.g. fire)	дымиться
家来	けらい	kerai	retainer, retinue, servant	фиксатор; свита; слуга
	けれど	keredo	but, however	но; тем не менее
圏	けん	ken	sphere, circle, range	сфера; круг; диапазон
権	けん	ken	authority, the right (to do something)	власть; право (что-то сделать)
権威	けんい	keni	authority, power, influence	власть; влияние
兼業	けんぎょう	kengyou	side line, second business	боковая линия; второй бизнес
権限	けんげん	kengen	power, authority, jurisdiction	власть; авторитет; юрисдикция
健在	けんざい	kenzai	in good health, well	быть в добром здравии; быть в хорошей форме
懸賞	けんしょう	kenshou	offering prizes, winning, reward	конкурс; премия
検事	けんじ	kenji	public prosecutor	прокурор
健全	けんぜん	kenzen	health, soundness, wholesome	здоровье; устойчивость
見地	けんち	kenchi	point of view	точка зрения
賢明	けんめい	kenmei	wisdom, intelligence, prudence	мудрость; интеллект; благоразумие
倹約	けんやく	kenyaku	thrift, economy, frugality	бережливость; экономия
兼用	けんよう	kenyou	multi-use, combined use, combination, serving two purposes	многофункциональный; совместное использование; комбинация; преследующий две цели
権力	けんりょく	kenryoku	power, authority, influence	власть; авторитет; влияние
劇団	げきだん	gekidan	troupe, theatrical company	театральная труппа
激励	げきれい	gekirei	encouragement	поощрение
月謝	げっしゃ	gessha	monthly tuition fee	ежемесячная плата за обучение
	げっそり	gessori	being disheartened, losing weight	быть в уныние; потеря веса
月賦	げっぷ	geppu	monthly installment	ежемесячный взнос
下痢	げり	geri	diarrhoea	диарея
原	げん	gen	original, primitive, primary, fundamental, raw	оригинальный; примитивный; первичный; фундаментальный; сырье
原形	げんけい	genkei	original form, base form	оригинальная форма; основная форма
現行	げんこう	genkou	present, current, in operation	теперешний; действующий; находящийся в обращении
原作	げんさく	gensaku	original work	оригинальное произведение
原子	げんし	genshi	atom	атом
元首	げんしゅ	genshu	ruler, sovereign	правитель; государь
原書	げんしょ	gensho	original document	оригинал документа
減少	げんしょう	genshou	decrease, reduction, decline	уменьшение; снижение
現場	げんじょう	genjou	actual spot, scene, scene of the crime	фактическое место; сцена; место преступления
元素	げんそ	genso	chemical element	химический элемент
原則	げんそく	gensoku	principle, general rule	принцип; общее правило
現像	げんぞう	genzou	developing (film)	фото проявление
現地	げんち	genchi	actual place, local	фактическое место; местный
限定	げんてい	gentei	limit, restriction	предел; ограничение
原点	げんてん	genten	origin (coordinates), starting point	происхождение (координаты); отправная точка
原典	げんてん	genten	original (text)	первоисточник; источник
減点	げんてん	genten	subtract, give a demerit	снижение оценки; потеря баллов
原爆	げんばく	genbaku	atomic bomb	атомная бомба
原文	げんぶん	genbun	the text, original	оригинальный текст
厳密	げんみつ	genmitsu	strict, close	строгий; точный; тщательный
原油	げんゆ	genyu	crude oil	сырая нефть
言論	げんろん	genron	discussion	обсуждение
故	こ	ko	the late (deceased)	покойный; старый
戸	こ	ko	counter for houses	счетное слово для домов
児	こ	ko	child, the young of animals	ребенок; детеныш животного
巨	こ	ko	big, large, great	большой;
恋する	こいする	koisuru	to fall in love with, to love	чтобы влюбиться в; любить
溝	こう	kou	10^38, hundred undecillion (American), hundred sextillion (British)	канава
校	こう	kou	-school, proof	школа
好意	こうい	koui	good will, favor, courtesy	добрая воля; милость; любезность
行為	こうい	koui	act, deed, conduct	акт; поступок; поведение
行員	こういん	kouin	bank clerk	кассир
交易	こうえき	koueki	trade, commerce	торговля; коммерция
公演	こうえん	kouen	public performance	публичное исполнение
後悔	こうかい	koukai	regret, repentance	сожаление; покаяние
公開	こうかい	koukai	presenting to the public	представление публике
航海	こうかい	koukai	sail, voyage	парус; плавание
工学	こうがく	kougaku	engineering	машиностроение
皇居	こうきょ	koukyo	Imperial Palace	Императорский дворец
好況	こうきょう	koukyou	prosperous conditions, healthy economy	зажиточные условия; здоровая экономика
抗議	こうぎ	kougi	protest, objection	протест; возражение
鉱業	こうぎょう	kougyou	mining industry	горная промышленность
興業	こうぎょう	kougyou	industrial enterprise	стимулирование промышленности
高原	こうげん	kougen	tableland, plateau	плоскогорье; плато
煌々と	こうこうと	koukouto	brilliantly, brightly	блестяще; ярко
考古学	こうこがく	koukogaku	archaeology	археология
交互	こうご	kougo	mutual, reciprocal, alternate	взаимность; обратность; чередование
工作	こうさく	kousaku	work, construction, handicraft, maneuvering	работы; строительство; ремесло; маневрирование
耕作	こうさく	kousaku	cultivation, farming	выращивание; разведение
鉱山	こうざん	kouzan	mine (ore)	шахта
講習	こうしゅう	koushuu	short course, training	курс; обучение
交渉	こうしょう	koushou	negotiations, discussions, connection	переговоры; дискуссии; подключение
高尚	こうしょう	koushou	high, noble, refined, advanced	высокий; благородный; изысканный; расширенный
行進	こうしん	koushin	march, parade	марш; парад
香辛料	こうしんりょう	koushinryou	spices	специи
口述	こうじゅつ	koujutsu	verbal statement	устноге заявление
控除	こうじょ	koujo	subsidy, deduction	субсидии; вычет
向上	こうじょう	koujou	elevation, rise, improvement, advancement, progress	высота; рост; совершенствование; улучшение; прогресс
降水	こうすい	kousui	rainfall, precipitation	осадки
洪水	こうずい	kouzui	flood	наводнение
公然	こうぜん	kouzen	open (e.g. secret), public, official	открыто официально
抗争	こうそう	kousou	dispute, resistance	спор; сопротивление
構想	こうそう	kousou	plan, plot, idea, conception	план; сюжет; идея; концепция
拘束	こうそく	kousoku	restriction, restraint	ограничение; сдержанность
後退	こうたい	koutai	retreat, backspace (BS)	движение назад; отступление
光沢	こうたく	koutaku	brilliance, polish, lustre, glossy finish (of photographs)	блеск; блеск; глянец
公団	こうだん	koudan	public corporation	государственная корпорация
好調	こうちょう	kouchou	favourable, promising, satisfactory, in good shape	благоприятный; перспективный; удовлетворительный; в хорошей форме
口頭	こうとう	koutou	oral	устная речь
講読	こうどく	koudoku	reading, translation	чтение; перевод
購読	こうどく	koudoku	subscription (e.g. magazine)	подписка (например на журнал)
購入	こうにゅう	kounyuu	purchase, buy	приобрести; купить
公認	こうにん	kounin	official recognition, authorization, licence, accreditation	официальное признание; авторизация; лицензия; аккредитация
光熱費	こうねつひ	kounetsuhi	cost of fuel and light	стоимость топлива и света
荒廃	こうはい	kouhai	ruin	руины
購買	こうばい	koubai	purchase, buy	приобрести; купить
好評	こうひょう	kouhyou	popularity, favorable reputation	популярность; благоприятная репутация
交付	こうふ	koufu	delivering, furnishing (with copies)	выдача; вручение
降伏	こうふく	koufuku	capitulation, surrender, submission	капитуляция; подчинение; покорность
興奮	こうふん	koufun	excitement, stimulation, agitation, arousal	волнение; возбуждение
公募	こうぼ	koubo	public appeal, public contribution	общественное обращение; общественный вклад
巧妙	こうみょう	koumyou	ingenious, skillful, clever, deft	гениальный; умелый; ловкий
公用	こうよう	kouyou	government business, public use, public expense	публичное использование
小売	こうり	kouri	retail	розничная торговля
効率	こうりつ	kouritsu	efficiency	эффективность
公立	こうりつ	kouritsu	public (institution)	общественное учреждение
小柄	こがら	kogara	short (build)	небольшого роста
小切手	こぎって	kogitte	cheque, check	проверка
国産	こくさん	kokusan	domestic products	отечественная продукция
国定	こくてい	kokutei	state-sponsored, national	при поддержке государства; национальный
国土	こくど	kokudo	realm	область
告白	こくはく	kokuhaku	confession, acknowledgement	исповедь; признание
国防	こくぼう	kokubou	national defence	национальная оборона
国有	こくゆう	kokuyuu	national ownership	национальная ответственность
国連	こくれん	kokuren	U.N., United Nations	U.N.; Организации Объединенных Наций
漕ぐ	こぐ	kogu	to row, to scull, to pedal	грести; крутить педали
焦げ茶	こげちゃ	kogecha	black tea	черный чай
個々	ここ	koko	individual, one by one	индивидуальный; один за другим
箇箇	ここ	koko	individual, separate	индивидуальный; отдельный
心地	ここち	kokochi	feeling, sensation, mood	чувство; ощущение; настроение
心得	こころえ	kokoroe	knowledge, information	знания; информация
心掛け	こころがけ	kokorogake	readiness, intention, aim	готовность; намерение; цель
心掛ける	こころがける	kokorogakeru	to bear in mind, to aim to do	иметь в виду; нацелиться
志	こころざし	kokorozashi	will, intention, motive	воля; намерение; мотив
志す	こころざす	kokorozasu	to plan, to intend, to aspire to, to set aims (sights on)	планировать; быть намеренным; стремиться к; нацеливаться
心強い	こころづよい	kokorozuyoi	heartening, reassuring	спокойный; внушающий уверенность; ободряющий
心細い	こころぼそい	kokorobosoi	helpless, forlorn, hopeless, unpromising, lonely, discouraging, disheartening	беспомощный; одинокий; безнадежный; бесперспективный
試み	こころみ	kokoromi	trial, experiment	испытание; эксперимент
試みる	こころみる	kokoromiru	to try, to test	пробовать; проверять
快い	こころよい	kokoroyoi	pleasant, agreeable	приятно
凝らす	こごらす	kogorasu	to freeze, to congeal	замораживать; застывать
凝る	こごる	kogoru	to congeal, to freeze	застывать; затвердевать
拵える	こしらえる	koshiraeru	to make, to manufacture	сделать; чтобы изготовить
孤児	こじ	koji	orphan	сирота
拗れる	こじれる	kojireru	to get complicated, to grow worse	выходить из строя; портиться; запутываться;
故人	こじん	kojin	the deceased, old friend	покойный; усопший
梢	こずえ	kozue	treetop	верхушка дерева
個性	こせい	kosei	individuality, personality, idiosyncrasy	индивидуальность; личность
戸籍	こせき	koseki	census, family register	книга посемейной записи; регистрационная книга
小銭	こぜに	kozeni	coins, small change	мелочь; разменная монета
固体	こたい	kotai	solid (body)	твердое вещество
答え	こたえ	kotae	answer, response	ответ
火燵	こたつ	kotatsu	table with heater, (orig) charcoal brazier in a floor well	стол с нагревателем; котацу
古代	こだい	kodai	ancient times	древние времена
	こだわる	kodawaru	to fuss over, to be particular about, to be concerned about	препятствовать,сопротивляться; уделять слишком много внимания пустякам
誇張	こちょう	kochou	exaggeration	преувеличение
滑稽	こっけい	kokkei	funny, humorous, comical, laughable, ridiculous, joking	комизм; юмор; шутка
国交	こっこう	kokkou	diplomatic relations	дипломатические отношения
骨董品	こっとうひん	kottouhin	curio	антикварная вещь
骨	こつ	kotsu	knack, skill	умение; мастерство
固定	こてい	kotei	fixation	фиксация
事柄	ことがら	kotogara	matter, thing, affair, circumstance	независимо от того; вещь; дело; обстоятельство
悉く	ことごとく	kotogotoku	altogether, entirely	в целом; полностью
言伝	ことづて	kotozute	declaration, hearsay	предание; сказание
殊に	ことに	kotoni	especially, above all	особенно; прежде всего
事によると	ことによると	kotoniyoruto	depending on the circumstances	в зависимости от обстоятельств
孤独	こどく	kodoku	isolation, loneliness, solitude	изоляция; одиночество
粉々	こなごな	konagona	in very small pieces	на очень маленькие части
此の	この	kono	this	это
この間	このあいだ	konoaida	the other day, lately, recently	на днях; в последнее время
この頃	このごろ	konogoro	recently	недавно
好ましい	このましい	konomashii	nice, likeable, desirable	хороший; симпатичный; желательный
個別	こべつ	kobetsu	particular case	частный случай
零す	こぼす	kobosu	to spill	проливать
零れる	こぼれる	koboreru	to overflow, to spill	переполненяться; проливать
細やか	こまやか	komayaka	friendly	дружелюбный
混む	こむ	komu	to be crowded	быть переполненным
込める	こめる	komeru	to include, to put into	включить; ввести в
篭る	こもる	komoru	to seclude oneself, to be confined in, to be implied, to be stuffy	уединиться; быть заключенным в; быть душным
固有	こゆう	koyuu	characteristic, tradition, peculiar, inherent, eigen-	свойственный; присущий
雇用	こよう	koyou	employment (long term), hire	занятости (долгосрочная); прокат
暦	こよみ	koyomi	calendar, almanac	календарь; альманах
堪える	こらえる	koraeru	to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t	терпеть; выносить; выдерживать; годиться,быть пригодным
孤立	こりつ	koritsu	isolation, helplessness	изоляция; беспомощность; одиночество
懲りる	こりる	koriru	to learn by experience, to be disgusted with	научиться на горьком опыте
此れ	これ	kore	this	это
此れ等	これら	korera	these	эти
魂	こん	kon	soul, spirit	душа; дух
根気	こんき	konki	patience, perseverance, energy	терпение; настойчивость; энергия
根拠	こんきょ	konkyo	basis, foundation	основа; фундамент
混血	こんけつ	konketsu	mixed race, mixed parentage	смешание расы; смешанный брако
昆虫	こんちゅう	konchuu	insect, bug	насекомое;
根底	こんてい	kontei	root, basis, foundation	корень; основа; фундамент
混同	こんどう	kondou	confusion, mixing, merger	спутанность сознания; смешивание; слияние
根本	こんぽん	konpon	origin, source, foundation, root, base, principle	происхождения; источником; фундамент; корень; основа; принцип
御	ご	go	go-, honourable	уважительный префикс
語彙	ごい	goi	vocabulary, glossary	лексика; глоссарий
濠	ごう	gou	moat	ров
業	ごう	gou	Buddhist karma, actions committed in a former life	карма; действия; совершенные в прошлой жизни
号	ごう	gou	number, issue	число; номер
合意	ごうい	goui	agreement, consent, mutual understanding	соглашение; согласие; взаимопонимание
合議	ごうぎ	gougi	consultation, conference	консультация; конференция
強気	ごうぎ	gougi	great, grand	большой; великий
合成	ごうせい	gousei	synthesis, composition, synthetic, composite, mixed, combined, compound	синтез; состав; синтез; соединение
護衛	ごえい	goei	guard, convoy, escort	охранник
語句	ごく	goku	words, phrases	слова; фразы
極楽	ごくらく	gokuraku	paradise	рай
ご苦労様	ごくろうさま	gokurousama	Thank you very much for your....	спасибо вам большое за ваш ....
語源	ごげん	gogen	word root, word derivation, etymology	корень слова; этимология
誤差	ごさ	gosa	error	ошибка
ご座います	ございます	gozaimasu	to be (polite), to exist	быть (вежливо); существовать
ご馳走	ごちそう	gochisou	feast, treating (someone)	праздник; угощение
ご馳走さま	ごちそうさま	gochisousama	feast	угощение
毎	ごと	goto	each respectively	каждый
碁盤	ごばん	goban	Go board	доска для игры в "го"
誤魔化す	ごまかす	gomakasu	to deceive, to falsify, to misrepresent	обмануть; фальсифицировать; искажать
御免ください	ごめんください	gomenkudasai	May I come in?	извините; можно войти?
御免なさい	ごめんなさい	gomennasai	I beg your pardon, excuse me	прошу прощения; извините
御覧なさい	ごらんなさい	gorannasai	(please) look, (please) try to do	(вежливо) смотреть; (вежливо) пытаться сделать
佐	さ	sa	help	помощь
再	さい	sai	re-, again, repeated	повторно; опять же
差異	さい	sai	difference, disparity	разница; несоответствие
歳	さい	sai	-years old	(возраст) лет
再会	さいかい	saikai	another meeting, meeting again, reunion	еще одна встреча; воссоединение
災害	さいがい	saigai	calamity, disaster, misfortune	бедствие; катастрофа; беда
細菌	さいきん	saikin	bacillus, bacterium, germ	палочка; бактерия; микроб
細工	さいく	saiku	work, craftsmanship, tactics, trick	работа; мастерство; тактика; трюк
採掘	さいくつ	saikutsu	mining	добыча
採決	さいけつ	saiketsu	vote, roll call	голосование
再建	さいけん	saiken	rebuilding, reconstruction, rehabilitation	восстановление; реконструкция
再現	さいげん	saigen	reappearance, reproduction, return, revival	появление; возвращение; возрождение
採算	さいさん	saisan	profit	прибыль
採集	さいしゅう	saishuu	collecting, gathering	сбор
再生	さいせい	saisei	playback, regeneration, resuscitation, return to life, rebirth, reincarnation, narrow escape, reclamation, r	регенерация; реанимация; возвращение к жизни; возрождение
最善	さいぜん	saizen	the very best	самое лучшее
採択	さいたく	saitaku	adoption, selection, choice	выбор
再発	さいはつ	saihatsu	return, relapse, reoccurrence	возвращение; рецидив; повторение
栽培	さいばい	saibai	cultivation	выращивание
細胞	さいぼう	saibou	cell (biology)	клетка (биология)
採用	さいよう	saiyou	use, adopt	использование; принятие
遮る	さえぎる	saegiru	to interrupt, to intercept, to obstruct	прерывать; перехватывать; мешать
囀る	さえずる	saezuru	to sing, to chirp, to twitter	чирикать; щебетать; петь
冴える	さえる	saeru	to be clear, to be serene, to be cold, to be skillful	быть ясным; быть холодным; приобретать умение
竿	さお	sao	rod, pole (e.g. for drying laundry)	стержень; шест; древко
栄える	さかえる	sakaeru	to prosper, to flourish	процветать;
杯	さかずき	sakazuki	wine cups	чашечка для сакэ; рюмка; бокал
逆立ち	さかだち	sakadachi	handstand, headstand	стойка на руках; на голове
逆上る	さかのぼる	sakanoboru	to go back, to go upstream, to make retroactive	вернуться; пойти вверх по течению
盛る	さかる	sakaru	to prosper, to flourish, to copulate (animals)	процветать
差額	さがく	sagaku	balance, difference, margin	баланс; разница
下がる	さがる	sagaru	to hang down, to abate, to retire, to fall, to step back	свисать; стихать; уйти в отставку; упасть; сделать шаг назад
一昨昨日	さきおととい	sakiototoi	two days before yesterday	позапозавчера
先に	さきに	sakini	before, earlier than, ahead, beyond, away, previously, recently	прежде; раньше; чем; вперед; за пределы; ранее; в последнее время
詐欺	さぎ	sagi	fraud, swindle	мошенничество
作	さく	saku	a work, a harvest	работа; урожай
策	さく	saku	plan, policy	план; политика
柵	さく	saku	fence, paling	забор; частокол
削減	さくげん	sakugen	cut, reduction, curtailment	сокращение; свертывание
錯誤	さくご	sakugo	mistake	ошибка
作戦	さくせん	sakusen	military or naval operations, tactics, strategy	военные или военно-морские операции; тактика; стратегия
作物	さくぶつ	sakubutsu	literary work	литературное произведение
叫び	さけび	sakebi	shout, scream, outcry	крик
裂ける	さける	sakeru	to split, to tear, to burst	разделять; рвать; лопаться
捧げる	ささげる	sasageru	to lift up, to give, to offer, to consecrate, to devote, to sacrifice, to dedicate	поднять; дать; предложить; посвятить; пожертвовать
差し掛かる	さしかかる	sashikakaru	to come near to, to approach	приближаться к; подойти
指図	さしず	sashizu	instruction, mandate	инструкция; мандат
差し出す	さしだす	sashidasu	to present, to submit, to tender, to hold out	представлять (на рассмотрение); предъявлять; подавать
差し支える	さしつかえる	sashitsukaeru	to interfere, to hinder, to become impeded	вмешиваться; мешать; чтобы стать затруднение
差し引く	さしひく	sashihiku	to deduct	вычитать
些事	さじ	saji	something small or petty, trifle	мелочь
授ける	さずける	sazukeru	to grant, to award, to teach	предоставлять; нагрждать; присваивать
嘸	さぞ	sazo	I am sure, certainly, no doubt	конечно же; без сомнения;
定まる	さだまる	sadamaru	to become settled, to be fixed	быть определённым,решённым; стабилизироваться,
定める	さだめる	sadameru	to decide, to establish, to determine	устанавливать; определять; назначать
錯覚	さっかく	sakkaku	optical illusion, hallucination	оптическая иллюзия; галлюцинация
早急	さっきゅう	sakkyuu	urgent	срочный
察する	さっする	sassuru	to guess, to sense, to presume, to judge, to sympathize with	предполагать; представлять себе
	さっと	satto	quickly, suddenly	быстро; внезапно
冊	さつ	satsu	counter for books	счетное слово для книг
殺人	さつじん	satsujin	murder	убийство
偖	さて	sate	well, now, then	союз (а) теперь; итак
悟る	さとる	satoru	to attain enlightenment, to perceive, to understand, to discern	воспринимать; понимать; различать
裁く	さばく	sabaku	to judge	судить
錆び	さび	sabi	rust (colour)	ржавчина
左程	さほど	sahodo	(not) very, (not) much	(не) очень; (не) много
様	さま	sama	Mr. or Mrs., manner, kind, appearance	г-н или г-жа; манера
三味線	さみせん	samisen	three-stringed Japanese guitar, shamisen	трехструнный японский инструмент; сямисэн
然も	しかも	shikamo	moreover; besides; into the bargain; and … at that; also; too	кроме того; впридачу; и что; более того; также
作用	さよう	sayou	action, operation, effect, function	действие; операция; эффект; функция
左様なら	さようなら	sayounara	good-bye	прощай
拐う	さらう	sarau	to carry off, to run away with, to kidnap, to abduct	утащить; похитить
爽やか	さわやか	sawayaka	fresh, refreshing, invigorating, clear, fluent, eloquent	свежий; освежающий; бодрящий; свободный
障る	さわる	sawaru	to hinder, to interfere with, to affect, to do one harm, to be harmful to	мешать; наносить вред,ущерб
酸	さん	san	acid	кислота
酸化	さんか	sanka	oxidation	окисление
山岳	さんがく	sangaku	mountains	горы
産休	さんきゅう	sankyuu	maternity leave	отпуск по беременности
桟橋	さんきょう	sankyou	wharf, bridge, jetty, pier	причал; мост; причал; пирс
参議院	さんぎいん	sangiin	House of Councillors	палата советников
産後	さんご	sango	postpartum, after childbirth	после родов
産出	さんしゅつ	sanshutsu	yield, produce	продукция
参照	さんしょう	sanshou	reference, consultation, consultation	ссылка; консультация
参上	さんじょう	sanjou	calling on, visiting	посещение; визит
賛成	さんせい	sansei	approval, agreement, support, favour	одобрение; согласие; поддержка
賛美	さんび	sanbi	praise, adoration, glorification	похвала; обожание; прославление
産婦人科	さんふじんか	sanfujinka	maternity and gynecology department	акушерство и гинекология
産物	さんぶつ	sanbutsu	product, result, fruit	продукт; результат
山腹	さんぷく	sanpuku	hillside, mountainside	горный склон; склон горы
山脈	さんみゃく	sanmyaku	mountain range	горный хребет
財	ざい	zai	fortune, riches	финансы
財源	ざいげん	zaigen	source of funds, resources, finances	источник средств,ресурсов ,финансов
在庫	ざいこ	zaiko	stockpile, stock	запас; фонд
財政	ざいせい	zaisei	economy, financial affairs	экономика; финансовые дела
座談会	ざだんかい	zadankai	symposium, round-table discussion	симпозиум; круглый стол
雑貨	ざっか	zakka	miscellaneous goods, general goods, sundries	смешанные товары
雑	ざつ	zatsu	rough, crude	грубый; сырой
雑談	ざつだん	zatsudan	chatting, idle talk	болтовня
雑木	ざつぼく	zatsuboku	various kinds of small trees, assorted trees	различные деревья; смешанный лес
座標	ざひょう	zahyou	coordinate(s)	координаты
残金	ざんきん	zankin	remaining money	остаток (денег); бухг. сальдо
残酷	ざんこく	zankoku	cruelty, harshness	жестокость
残高	ざんだか	zandaka	(bank) balance, remainder	баланс; остаток
次	し	shi	order, sequence, times, next, below	порядок; последовательность
仕上がり	しあがり	shiagari	finish, end, completion	завершение; окончание; результат
仕上げ	しあげ	shiage	end, finishing touches, being finished	завершение; окончание; отделка; последние штрихи
仕上げる	しあげる	shiageru	to finish up, to complete	закончить; завершить
明々後日	しあさって	shiasatte	two days after tomorrow	послепослезавтра
飼育	しいく	shiiku	breeding, raising, rearing	разведение
強いて	しいて	shiite	by force	силой
強いる	しいる	shiiru	to force, to compel, to coerce	заставить; принудить
仕入れる	しいれる	shiireru	to lay in stock, to replenish stock, to procure	принимать (на хранение); заготовлять; хранить; восполнять запас
	しいんと	shiinto	silent (as the grave), (deathly) quiet	тихо
歯科	しか	shika	dentistry	лечение зубов
資格	しかく	shikaku	qualifications, requirements, capabilities	квалификация; требования; возможности
視覚	しかく	shikaku	sense of sight, vision	зрение; видение
仕掛け	しかけ	shikake	device, trick, mechanism, gadget, (small) scale, half finished, commencement, set up, challenge	устройство; трюк; механизм; гаджет; (уменьшенный) масштаб
仕掛ける	しかける	shikakeru	to commence, to lay (mines), to set (traps), to wage (war), to challenge	начать; заложить (мины); установить (ловушки); вести (войну); бросить вызов
然し	しかし	shikashi	however, but	однако; но
然しながら	しかしながら	shikashinagara	nevertheless, however	тем не менее; однако
而も	しかも	shikamo	moreover, furthermore, nevertheless, and yet	более того; кроме того; тем не менее; и в то же
市街	しがい	shigai	urban areas, the streets, town, city	городские районы; улицы; город
指揮	しき	shiki	command, direction	команда; направление
色彩	しきさい	shikisai	colour, hue, tints	цвет; оттенок
式場	しきじょう	shikijou	ceremonial hall, place of ceremony (e.g. marriage)	церемониальный зал; место церемонии (например; брак)
為来り	しきたり	shikitari	customs	таможенный
頻りに	しきりに	shikirini	frequently, repeatedly, incessantly, eagerly	часто; неоднократно; не переставая; с нетерпением
仕切る	しきる	shikiru	to partition, to divide, to mark off, to settle accounts, to toe the mark	разделить; разделить; расквитаться
資金	しきん	shikin	funds, capital	фонды; капитал
施行	しぎょう	shigyou	1. execution, enforcing, carrying out	выполнение; соблюдения; проведение
	しくじる	shikujiru	to fail, to fall through, to blunder	провалиться
仕組み	しくみ	shikumi	devising, plan, plot, contrivance, construction, arrangement	разработка; план; сюжет; приспособление; конструкция
死刑	しけい	shikei	death penalty, capital punishment	смертная казнь; смертный приговор
湿気る	しける	shikeru	to be damp, to be moist	быть влажным
思考	しこう	shikou	thought	мысль
志向	しこう	shikou	intention, aim	намерение; цель
嗜好	しこう	shikou	taste, liking, preference	вкус; симпатии; предпочтение
視察	しさつ	shisatsu	inspection, observation	осмотр; наблюдение
資産	しさん	shisan	property, fortune, means, assets	собственность; состояние; активы
刺繍	ししゅう	shishuu	embroidery	вышивка
支持	しじ	shiji	support, maintenance	поддержка; обслуживание
指示	しじ	shiji	indication, instruction, directions	инструкция; направления
雫	しずく	shizuku	drop (of water)	капля (воды)
沈める	しずめる	shizumeru	to sink, to submerge	тонуть; погружаться
施設	しせつ	shisetsu	institution, establishment, facility, (army) engineer	оборудование; сооружения; объекты
子息	しそく	shisoku	son	сын
慕う	したう	shitau	to yearn for, to miss, to adore, to love dearly	тосковать по ч-л.; обожать; любить нежно
従って	したがって	shitagatte	therefore, consequently, in accordance with	поэтому; соответственно; в соответствии с
下心	したごころ	shitagokoro	secret intention, motive	тайное намерение
親しむ	したしむ	shitashimu	to be intimate with, to befriend	быть близким с; подружиться
下調べ	したしらべ	shitashirabe	preliminary investigation, preparation	предварительное следствие; подготовка
下地	したじ	shitaji	groundwork, foundation, inclination, aptitude, elementary knowledge of, grounding in, prearrangement, spade	основа; фундамент; наклон; способности; элементарное знание; заземление в; под вторичные; лопата
認める	したためる	shitatameru	to write up	признавать; одобрять; разрешать
仕立てる	したてる	shitateru	to tailor, to make, to prepare, to train, to send (a messenger)	адаптировать; делать; подготавливать; обучать
下取り	したどり	shitadori	trade in, part exchange	покупать новую модель в обмен на старую (с доплатой)
下火	したび	shitabi	burning low, waning, declining	затухать; идти на убыль (о пожаре и т.п.)
失格	しっかく	shikkaku	disqualification, elimination, incapacity (legal)	дисквалификация; устранение; неспособность
確り	しっかり	shikkari	firmly, tightly, reliable, level-headed, steady	твердо; жестко; надежно; устойчиво
質素	しっそ	shisso	simplicity, modesty, frugality	простота; скромность; бережливость
失調	しっちょう	shicchou	lack of harmony	отсутствие гармонии
嫉妬	しっと	shitto	jealousy	ревность
尻尾	しっぽ	shippo	tail (animal)	хвост (животного)
室	しつ	shitsu	room	номер
質疑	しつぎ	shitsugi	question	вопрос
