嗚呼	ああ	aa	Ах!; О!; Увы !
勤勉	きんべん	kinben	промышленность; трудолюбие
勤務	きんむ	kinmu	служба; долг; работа
禁物	きんもつ	kinmotsu	табу 
勤労	きんろう	kinrou	труд; напряжение
議案	ぎあん	gian	законопроект
戯曲	ぎきょく	gikyoku	игра; драма
議決	ぎけつ	giketsu	решение; постановление; резолюция
議事堂	ぎじどう	gijidou	здание парламента
犠牲	ぎせい	gisei	жертва
偽造	ぎぞう	gizou	подделка; фальсификация 
議題	ぎだい	gidai	тема для обсуждения; повестка дня
技能	ぎのう	ginou	техническое мастерство; умение; способность
逆転	ぎゃくてん	gyakuten	(внезапное) изменение; обратный ход
行	ぎょう	gyou	линия; строка; стих
業者	ぎょうしゃ	gyousha	трейдер; продавец
行政	ぎょうせい	gyousei	администрация
業績	ぎょうせき	gyouseki	достижение; производительность; результаты; работа; вклад
業務	ぎょうむ	gyoumu	бизнес; дела; обязанности; работа
玉	ぎょく	gyoku	Король (в игре сеги)
漁船	ぎょせん	gyosen	рыболовное судно
漁村	ぎょそん	gyoson	рыбацкая деревня
義理	ぎり	giri	долг; чувство долга; честь; порядочность; вежливость; долг благодарности 
疑惑	ぎわく	giwaku	опасения; недоверие; подозрительность
吟味	ぎんみ	ginmi	тестирование; изучение; тщательное исследование
区	く	ku	отделение; район; секция
食い違う	くいちがう	kuichigau	идти вразрез с; отличаться; конфликтовать 
空腹	くうふく	kuufuku	голод
区画	くかく	kukaku	разделение; раздел; отделение; граница; область; блок
区間	くかん	kukan	перегон; участок (пути)
茎	くき	kuki	стебель
区切り	くぎり	kugiri	остановка; пунктуация
潜る	くぐる	kuguru	проходить,пролезать под чем-л.; нырять; перен. благополучно миновать
種々	くさぐさ	kusagusa	разнообразие
嚏	くしゃみ	kushami	чихать
旧事	くじ	kuji	прошедшие события
籤引	くじびき	kujibiki	лотерея; жребий
擽ぐったい	くすぐったい	kusuguttai	щекотливый
草臥れる	くたびれる	kutabireru	устать; изнашиваться
下らない	くだらない	kudaranai	глупо; тривиально; ничего не стоит
件	くだん	kudan	вышеуказанный; вышеупомянутый
口ずさむ	くちずさむ	kuchizusamu	напевать
嘴	くちばし	kuchibashi	клюв
朽ちる	くちる	kuchiru	гнить
	くっきり	kukkiri	отчетливо; ясно; смело
屈折	くっせつ	kussetsu	изгиб; отступы; преломление
くっ付く	くっつく	kuttsuku	придерживаться; держаться ближе к
くっ付ける	くっつける	kuttsukeru	приложить
覆す	くつがえす	kutsugaesu	опрокинуть; расстраивать; разрушать; подрывать
諄い	くどい	kudoi	многословный; назойливый; тяжелый (на вкус)
国境	くにざかい	kunizakai	государственная граница
首飾り	くびかざり	kubikazari	ожерелье
首輪	くびわ	kubiwa	ожерелье; колье
組み合わせ	くみあわせ	kumiawase	сочетание
組み合わせる	くみあわせる	kumiawaseru	объединиться; объединить; соединиться
組み込む	くみこむ	kumikomu	полигр. вставлять,набирать дополнительно
蔵	くら	kura	склад; подвал; хранилище
苦しめる	くるしめる	kurushimeru	мучить; изводить; причинять боль
包む	くるむ	kurumu	быть охваченным; быть окутанным
呉れ呉れも	くれぐれも	kureguremo	неоднократно; искренне; искренне
呉れる	くれる	kureru	давать; делать для кого-то
玄人	くろうと	kurouto	эксперт; профессионал
黒字	くろじ	kuroji	чёрные иероглифы; бездефицитный
君主	くんしゅ	kunshu	правитель; монарх
愚痴	ぐち	guchi	жалоба; ворчанье
	ぐっと	gutto	твердо; быстро 
	ぐらい	gurai	приблизительно
群	ぐん	gun	группа; толпа; стадо
軍艦	ぐんかん	gunkan	военный корабль; линкор
群集	ぐんしゅう	gunshuu	(социальная) группа; толпа; толпа; толпа; множество
軍事	ぐんじ	gunji	военное дело
軍備	ぐんび	gunbi	вооружение; военной подготовка
軍服	ぐんぷく	gunpuku	военная форма
刑	けい	kei	казнь; приговор; наказание
頃	けい	kei	китайская мера площади
傾	けい	kei	 наклон
系	けい	kei	система; группа
経過	けいか	keika	ход; процесс; развитие
軽快	けいかい	keikai	живость,лёгкость; бодрость
警戒	けいかい	keikai	меры предосторожности
計器	けいき	keiki	метр; датчик
契機	けいき	keiki	возможность; шанс
敬具	けいぐ	keigu	с искренним уважением
軽減	けいげん	keigen	снижение
掲載	けいさい	keisai	публикация
傾斜	けいしゃ	keisha	уклон,наклон; откос; скат
形成	けいせい	keisei	формирование
形勢	けいせい	keisei	состояние; ситуация; перспективы
軽率	けいそつ	keisotsu	торопливый; опрометчивый; необдуманный
携帯	けいたい	keitai	переносной
形態	けいたい	keitai	форма; фигура
刑罰	けいばつ	keibatsu	суждение; штраф; наказание
経費	けいひ	keihi	расходы; затраты
警部	けいぶ	keibu	инспектор полиции
軽蔑	けいべつ	keibetsu	презрение; 
経歴	けいれき	keireki	личная история; карьера
経路	けいろ	keiro	маршрут; путь; курс
汚す	けがす	kegasu	опозорить; обесчестить
汚らわしい	けがらわしい	kegarawashii	грязный; несправедливый
汚れ	けがれ	kegare	нечистота; позор; гпязь
汚れる	けがれる	kegareru	испачкаться; стать грязным
獣	けだもの	kedamono	зверь; скотина
吝嗇	けち	kechi	скупость; скряга; жмот 
結核	けっかく	kekkaku	туберкулез
血管	けっかん	kekkan	кровеносный сосуд
決行	けっこう	kekkou	решительные действия
決算	けっさん	kessan	бухгалтерский баланс; расчет
決勝	けっしょう	kesshou	решение конкурсе; финал (в спорте)
結晶	けっしょう	kesshou	кристалл; кристаллизация
結成	けっせい	kessei	формирование
結束	けっそく	kessoku	союз; единство
傑	けつ	ketsu	превосходство
決意	けつい	ketsui	решение; определение
決議	けつぎ	ketsugi	разрешение; голосование 
結合	けつごう	ketsugou	сочетание; объединение
決断	けつだん	ketsudan	решение; определение
欠乏	けつぼう	ketsubou	нехватка; недостача; дефицит
蹴飛ばす	けとばす	ketobasu	прогнать; чтобы пнуть ; отказаться 
貶す	けなす	kenasu	говорить плохо о ч-л
煙たい	けむたい	kemutai	дымчатый; чувствуя неловкость
煙る	けむる	kemuru	дымиться
家来	けらい	kerai	фиксатор; свита; слуга
	けれど	keredo	но; тем не менее
圏	けん	ken	сфера; круг; диапазон
権	けん	ken	власть; право (что-то сделать)
権威	けんい	keni	власть; влияние
兼業	けんぎょう	kengyou	боковая линия; второй бизнес
権限	けんげん	kengen	власть; авторитет; юрисдикция
健在	けんざい	kenzai	быть в добром здравии; быть в хорошей форме
懸賞	けんしょう	kenshou	конкурс; премия
検事	けんじ	kenji	прокурор
健全	けんぜん	kenzen	здоровье; устойчивость 
見地	けんち	kenchi	точка зрения
賢明	けんめい	kenmei	мудрость; интеллект; благоразумие
倹約	けんやく	kenyaku	бережливость; экономия
兼用	けんよう	kenyou	многофункциональный; совместное использование; комбинация; преследующий две цели
権力	けんりょく	kenryoku	власть; авторитет; влияние
劇団	げきだん	gekidan	театральная труппа
激励	げきれい	gekirei	поощрение
月謝	げっしゃ	gessha	ежемесячная плата за обучение
	げっそり	gessori	быть в уныние; потеря веса
月賦	げっぷ	geppu	ежемесячный взнос
下痢	げり	geri	диарея
原	げん	gen	оригинальный; примитивный; первичный; фундаментальный; сырье
原形	げんけい	genkei	оригинальная форма; основная форма
現行	げんこう	genkou	теперешний; действующий; находящийся в обращении
原作	げんさく	gensaku	оригинальное произведение
原子	げんし	genshi	атом
元首	げんしゅ	genshu	правитель; государь
原書	げんしょ	gensho	оригинал документа
減少	げんしょう	genshou	уменьшение; снижение 
現場	げんじょう	genjou	фактическое место; сцена; место преступления
元素	げんそ	genso	химический элемент
原則	げんそく	gensoku	принцип; общее правило
現像	げんぞう	genzou	фото проявление
現地	げんち	genchi	фактическое место; местный
限定	げんてい	gentei	предел; ограничение
原点	げんてん	genten	происхождение (координаты); отправная точка
原典	げんてん	genten	первоисточник; источник
減点	げんてん	genten	снижение оценки; потеря баллов
原爆	げんばく	genbaku	атомная бомба
原文	げんぶん	genbun	оригинальный текст
厳密	げんみつ	genmitsu	строгий; точный; тщательный
原油	げんゆ	genyu	сырая нефть
言論	げんろん	genron	обсуждение
故	こ	ko	покойный; старый
戸	こ	ko	счетное слово для домов
児	こ	ko	ребенок; детеныш животного
巨	こ	ko	большой; 
恋する	こいする	koisuru	чтобы влюбиться в; любить
溝	こう	kou	канава
校	こう	kou	школа
好意	こうい	koui	добрая воля; милость; любезность
行為	こうい	koui	акт; поступок; поведение
行員	こういん	kouin	кассир
交易	こうえき	koueki	торговля; коммерция
公演	こうえん	kouen	публичное исполнение
後悔	こうかい	koukai	сожаление; покаяние
公開	こうかい	koukai	представление публике
航海	こうかい	koukai	парус; плавание
工学	こうがく	kougaku	машиностроение
皇居	こうきょ	koukyo	Императорский дворец
好況	こうきょう	koukyou	зажиточные условия; здоровая экономика
抗議	こうぎ	kougi	протест; возражение
鉱業	こうぎょう	kougyou	горная промышленность
興業	こうぎょう	kougyou	стимулирование промышленности
高原	こうげん	kougen	плоскогорье; плато
煌々と	こうこうと	koukouto	блестяще; ярко
考古学	こうこがく	koukogaku	археология
交互	こうご	kougo	взаимность; обратность; чередование
工作	こうさく	kousaku	работы; строительство; ремесло; маневрирование
耕作	こうさく	kousaku	выращивание; разведение
鉱山	こうざん	kouzan	шахта 
講習	こうしゅう	koushuu	курс; обучение
交渉	こうしょう	koushou	переговоры; дискуссии; подключение
高尚	こうしょう	koushou	высокий; благородный; изысканный; расширенный
行進	こうしん	koushin	марш; парад
香辛料	こうしんりょう	koushinryou	специи
口述	こうじゅつ	koujutsu	устноге заявление
控除	こうじょ	koujo	субсидии; вычет
向上	こうじょう	koujou	высота; рост; совершенствование; улучшение; прогресс
降水	こうすい	kousui	осадки
洪水	こうずい	kouzui	наводнение
公然	こうぜん	kouzen	открыто официально
抗争	こうそう	kousou	спор; сопротивление
構想	こうそう	kousou	план; сюжет; идея; концепция
拘束	こうそく	kousoku	ограничение; сдержанность
後退	こうたい	koutai	движение назад; отступление
光沢	こうたく	koutaku	блеск; блеск; глянец
公団	こうだん	koudan	государственная корпорация
好調	こうちょう	kouchou	благоприятный; перспективный; удовлетворительный; в хорошей форме
口頭	こうとう	koutou	устная речь
講読	こうどく	koudoku	чтение; перевод
購読	こうどく	koudoku	подписка (например на журнал)
購入	こうにゅう	kounyuu	приобрести; купить
公認	こうにん	kounin	официальное признание; авторизация; лицензия; аккредитация
光熱費	こうねつひ	kounetsuhi	стоимость топлива и света
荒廃	こうはい	kouhai	руины
購買	こうばい	koubai	приобрести; купить
好評	こうひょう	kouhyou	популярность; благоприятная репутация
交付	こうふ	koufu	выдача; вручение
降伏	こうふく	koufuku	капитуляция; подчинение; покорность
興奮	こうふん	koufun	волнение; возбуждение
公募	こうぼ	koubo	общественное обращение; общественный вклад
巧妙	こうみょう	koumyou	гениальный; умелый; ловкий
公用	こうよう	kouyou	публичное использование 
小売	こうり	kouri	розничная торговля
効率	こうりつ	kouritsu	эффективность
公立	こうりつ	kouritsu	общественное учреждение
小柄	こがら	kogara	небольшого роста
小切手	こぎって	kogitte	проверка
国産	こくさん	kokusan	отечественная продукция
国定	こくてい	kokutei	при поддержке государства; национальный
国土	こくど	kokudo	область
告白	こくはく	kokuhaku	исповедь; признание
国防	こくぼう	kokubou	национальная оборона
国有	こくゆう	kokuyuu	национальная ответственность
国連	こくれん	kokuren	U.N.; Организации Объединенных Наций
漕ぐ	こぐ	kogu	грести; крутить педали
焦げ茶	こげちゃ	kogecha	черный чай
個々	ここ	koko	индивидуальный; один за другим
箇箇	ここ	koko	индивидуальный; отдельный
心地	ここち	kokochi	чувство; ощущение; настроение
心得	こころえ	kokoroe	знания; информация
心掛け	こころがけ	kokorogake	готовность; намерение; цель
心掛ける	こころがける	kokorogakeru	иметь в виду; нацелиться
志	こころざし	kokorozashi	воля; намерение; мотив
志す	こころざす	kokorozasu	планировать; быть намеренным; стремиться к; нацеливаться
心強い	こころづよい	kokorozuyoi	спокойный; внушающий уверенность; ободряющий
心細い	こころぼそい	kokorobosoi	беспомощный; одинокий; безнадежный; бесперспективный 
試み	こころみ	kokoromi	испытание; эксперимент
試みる	こころみる	kokoromiru	пробовать; проверять
快い	こころよい	kokoroyoi	приятно
凝らす	こごらす	kogorasu	замораживать; застывать
凝る	こごる	kogoru	застывать; затвердевать
拵える	こしらえる	koshiraeru	сделать; чтобы изготовить
孤児	こじ	koji	сирота
拗れる	こじれる	kojireru	выходить из строя; портиться; запутываться; 
故人	こじん	kojin	покойный; усопший
梢	こずえ	kozue	верхушка дерева
個性	こせい	kosei	индивидуальность; личность
戸籍	こせき	koseki	книга посемейной записи; регистрационная книга
小銭	こぜに	kozeni	мелочь; разменная монета
固体	こたい	kotai	твердое вещество
答え	こたえ	kotae	ответ 
火燵	こたつ	kotatsu	стол с нагревателем; котацу
古代	こだい	kodai	древние времена
	こだわる	kodawaru	препятствовать,сопротивляться; уделять слишком много внимания пустякам
誇張	こちょう	kochou	преувеличение
滑稽	こっけい	kokkei	комизм; юмор; шутка
国交	こっこう	kokkou	дипломатические отношения
骨董品	こっとうひん	kottouhin	антикварная вещь
骨	こつ	kotsu	умение; мастерство
固定	こてい	kotei	фиксация
事柄	ことがら	kotogara	независимо от того; вещь; дело; обстоятельство
悉く	ことごとく	kotogotoku	в целом; полностью
言伝	ことづて	kotozute	предание; сказание
殊に	ことに	kotoni	особенно; прежде всего
事によると	ことによると	kotoniyoruto	в зависимости от обстоятельств
孤独	こどく	kodoku	изоляция; одиночество
粉々	こなごな	konagona	на очень маленькие части
此の	この	kono	это
この間	このあいだ	konoaida	на днях; в последнее время
この頃	このごろ	konogoro	недавно
好ましい	このましい	konomashii	хороший; симпатичный; желательный
個別	こべつ	kobetsu	частный случай
零す	こぼす	kobosu	проливать
零れる	こぼれる	koboreru	переполненяться; проливать
細やか	こまやか	komayaka	дружелюбный
混む	こむ	komu	быть переполненным
込める	こめる	komeru	включить; ввести в
篭る	こもる	komoru	уединиться; быть заключенным в; быть душным
固有	こゆう	koyuu	свойственный; присущий
雇用	こよう	koyou	занятости (долгосрочная); прокат
暦	こよみ	koyomi	календарь; альманах
堪える	こらえる	koraeru	терпеть; выносить; выдерживать; годиться,быть пригодным
孤立	こりつ	koritsu	изоляция; беспомощность; одиночество
懲りる	こりる	koriru	научиться на горьком опыте
此れ	これ	kore	это
此れ等	これら	korera	эти
魂	こん	kon	душа; дух
根気	こんき	konki	терпение; настойчивость; энергия
根拠	こんきょ	konkyo	основа; фундамент
混血	こんけつ	konketsu	смешание расы; смешанный брако
昆虫	こんちゅう	konchuu	насекомое; 
根底	こんてい	kontei	корень; основа; фундамент
混同	こんどう	kondou	спутанность сознания; смешивание; слияние
根本	こんぽん	konpon	происхождения; источником; фундамент; корень; основа; принцип
御	ご	go	уважительный префикс
語彙	ごい	goi	лексика; глоссарий
濠	ごう	gou	ров
業	ごう	gou	карма; действия; совершенные в прошлой жизни
号	ごう	gou	число; номер
合意	ごうい	goui	соглашение; согласие; взаимопонимание
合議	ごうぎ	gougi	консультация; конференция
強気	ごうぎ	gougi	большой; великий
合成	ごうせい	gousei	синтез; состав; синтез; соединение
護衛	ごえい	goei	охранник 
語句	ごく	goku	слова; фразы
極楽	ごくらく	gokuraku	рай
ご苦労様	ごくろうさま	gokurousama	спасибо вам большое за ваш ....
語源	ごげん	gogen	корень слова; этимология
誤差	ごさ	gosa	ошибка
ご座います	ございます	gozaimasu	быть (вежливо); существовать
ご馳走	ごちそう	gochisou	праздник; угощение
ご馳走さま	ごちそうさま	gochisousama	угощение
毎	ごと	goto	каждый 
碁盤	ごばん	goban	доска для игры в "го"
誤魔化す	ごまかす	gomakasu	обмануть; фальсифицировать; искажать
御免ください	ごめんください	gomenkudasai	извините; можно войти?
御免なさい	ごめんなさい	gomennasai	прошу прощения; извините
御覧なさい	ごらんなさい	gorannasai	(вежливо) смотреть; (вежливо) пытаться сделать
佐	さ	sa	помощь
再	さい	sai	повторно; опять же
差異	さい	sai	разница; несоответствие
歳	さい	sai	(возраст) лет
再会	さいかい	saikai	еще одна встреча; воссоединение
災害	さいがい	saigai	бедствие; катастрофа; беда
細菌	さいきん	saikin	палочка; бактерия; микроб
細工	さいく	saiku	работа; мастерство; тактика; трюк
採掘	さいくつ	saikutsu	добыча
採決	さいけつ	saiketsu	голосование
再建	さいけん	saiken	восстановление; реконструкция
再現	さいげん	saigen	появление; возвращение; возрождение
採算	さいさん	saisan	прибыль
採集	さいしゅう	saishuu	сбор
再生	さいせい	saisei	регенерация; реанимация; возвращение к жизни; возрождение
最善	さいぜん	saizen	самое лучшее
採択	さいたく	saitaku	выбор 
再発	さいはつ	saihatsu	возвращение; рецидив; повторение
栽培	さいばい	saibai	выращивание
細胞	さいぼう	saibou	клетка (биология)
採用	さいよう	saiyou	использование; принятие
遮る	さえぎる	saegiru	прерывать; перехватывать; мешать
囀る	さえずる	saezuru	чирикать; щебетать; петь
冴える	さえる	saeru	быть ясным; быть холодным; приобретать умение
竿	さお	sao	стержень; шест; древко
栄える	さかえる	sakaeru	процветать; 
杯	さかずき	sakazuki	чашечка для сакэ; рюмка; бокал
逆立ち	さかだち	sakadachi	стойка на руках; на голове
逆上る	さかのぼる	sakanoboru	вернуться; пойти вверх по течению
盛る	さかる	sakaru	процветать 
差額	さがく	sagaku	баланс; разница 
下がる	さがる	sagaru	свисать; стихать; уйти в отставку; упасть; сделать шаг назад
一昨昨日	さきおととい	sakiototoi	позапозавчера 
先に	さきに	sakini	прежде; раньше; чем; вперед; за пределы; ранее; в последнее время
詐欺	さぎ	sagi	мошенничество
作	さく	saku	работа; урожай
策	さく	saku	план; политика
柵	さく	saku	забор; частокол
削減	さくげん	sakugen	сокращение; свертывание
錯誤	さくご	sakugo	ошибка
作戦	さくせん	sakusen	военные или военно-морские операции; тактика; стратегия
作物	さくぶつ	sakubutsu	литературное произведение
叫び	さけび	sakebi	крик 
裂ける	さける	sakeru	разделять; рвать; лопаться
捧げる	ささげる	sasageru	поднять; дать; предложить; посвятить; пожертвовать 
差し掛かる	さしかかる	sashikakaru	приближаться к; подойти
指図	さしず	sashizu	инструкция; мандат
差し出す	さしだす	sashidasu	представлять (на рассмотрение); предъявлять; подавать
差し支える	さしつかえる	sashitsukaeru	вмешиваться; мешать; чтобы стать затруднение
差し引く	さしひく	sashihiku	вычитать
些事	さじ	saji	мелочь
授ける	さずける	sazukeru	предоставлять; нагрждать; присваивать
嘸	さぞ	sazo	конечно же; без сомнения; 
定まる	さだまる	sadamaru	быть определённым,решённым; стабилизироваться,
定める	さだめる	sadameru	устанавливать; определять; назначать
錯覚	さっかく	sakkaku	оптическая иллюзия; галлюцинация
早急	さっきゅう	sakkyuu	срочный
察する	さっする	sassuru	предполагать; представлять себе
	さっと	satto	быстро; внезапно
冊	さつ	satsu	счетное слово для книг
殺人	さつじん	satsujin	убийство
偖	さて	sate	союз (а) теперь; итак
悟る	さとる	satoru	воспринимать; понимать; различать
裁く	さばく	sabaku	судить
錆び	さび	sabi	ржавчина
左程	さほど	sahodo	(не) очень; (не) много
様	さま	sama	г-н или г-жа; манера 
三味線	さみせん	samisen	трехструнный японский инструмент; сямисэн
然も	しかも	shikamo	кроме того; впридачу; и что; более того; также
作用	さよう	sayou	действие; операция; эффект; функция
左様なら	さようなら	sayounara	прощай
拐う	さらう	sarau	утащить; похитить 
爽やか	さわやか	sawayaka	свежий; освежающий; бодрящий; свободный
障る	さわる	sawaru	мешать; наносить вред,ущерб 
酸	さん	san	кислота
酸化	さんか	sanka	окисление
山岳	さんがく	sangaku	горы
産休	さんきゅう	sankyuu	отпуск по беременности
桟橋	さんきょう	sankyou	причал; мост; причал; пирс
参議院	さんぎいん	sangiin	палата советников
産後	さんご	sango	после родов
産出	さんしゅつ	sanshutsu	продукция
参照	さんしょう	sanshou	ссылка; консультация
参上	さんじょう	sanjou	посещение; визит
賛成	さんせい	sansei	одобрение; согласие; поддержка
賛美	さんび	sanbi	похвала; обожание; прославление
産婦人科	さんふじんか	sanfujinka	акушерство и гинекология
産物	さんぶつ	sanbutsu	продукт; результат 
山腹	さんぷく	sanpuku	горный склон; склон горы
山脈	さんみゃく	sanmyaku	горный хребет
財	ざい	zai	финансы
財源	ざいげん	zaigen	источник средств,ресурсов ,финансов
在庫	ざいこ	zaiko	запас; фонд
財政	ざいせい	zaisei	экономика; финансовые дела
座談会	ざだんかい	zadankai	симпозиум; круглый стол
雑貨	ざっか	zakka	смешанные товары
雑	ざつ	zatsu	грубый; сырой
雑談	ざつだん	zatsudan	болтовня
雑木	ざつぼく	zatsuboku	различные деревья; смешанный лес
座標	ざひょう	zahyou	координаты
残金	ざんきん	zankin	остаток (денег); бухг. сальдо
残酷	ざんこく	zankoku	жестокость
残高	ざんだか	zandaka	баланс; остаток
次	し	shi	порядок; последовательность 
仕上がり	しあがり	shiagari	завершение; окончание; результат
仕上げ	しあげ	shiage	завершение; окончание; отделка; последние штрихи
仕上げる	しあげる	shiageru	закончить; завершить
明々後日	しあさって	shiasatte	послепослезавтра
飼育	しいく	shiiku	разведение
強いて	しいて	shiite	силой
強いる	しいる	shiiru	заставить; принудить 
仕入れる	しいれる	shiireru	принимать (на хранение); заготовлять; хранить; восполнять запас
	しいんと	shiinto	тихо
歯科	しか	shika	лечение зубов
資格	しかく	shikaku	квалификация; требования; возможности
視覚	しかく	shikaku	зрение; видение
仕掛け	しかけ	shikake	устройство; трюк; механизм; гаджет; (уменьшенный) масштаб 
仕掛ける	しかける	shikakeru	начать; заложить (мины); установить (ловушки); вести (войну); бросить вызов
然し	しかし	shikashi	однако; но
然しながら	しかしながら	shikashinagara	тем не менее; однако
而も	しかも	shikamo	более того; кроме того; тем не менее; и в то же
市街	しがい	shigai	городские районы; улицы; город
指揮	しき	shiki	команда; направление
色彩	しきさい	shikisai	цвет; оттенок 
式場	しきじょう	shikijou	церемониальный зал; место церемонии (например; брак)
為来り	しきたり	shikitari	таможенный
頻りに	しきりに	shikirini	часто; неоднократно; не переставая; с нетерпением
仕切る	しきる	shikiru	разделить; разделить; расквитаться 
資金	しきん	shikin	фонды; капитал
施行	しぎょう	shigyou	выполнение; соблюдения; проведение
	しくじる	shikujiru	провалиться
仕組み	しくみ	shikumi	разработка; план; сюжет; приспособление; конструкция
死刑	しけい	shikei	смертная казнь; смертный приговор
湿気る	しける	shikeru	быть влажным
思考	しこう	shikou	мысль
志向	しこう	shikou	намерение; цель
嗜好	しこう	shikou	вкус; симпатии; предпочтение
視察	しさつ	shisatsu	осмотр; наблюдение
資産	しさん	shisan	собственность; состояние; активы
刺繍	ししゅう	shishuu	вышивка
支持	しじ	shiji	поддержка; обслуживание
指示	しじ	shiji	 инструкция; направления
雫	しずく	shizuku	капля (воды)
沈める	しずめる	shizumeru	тонуть; погружаться
施設	しせつ	shisetsu	оборудование; сооружения; объекты
子息	しそく	shisoku	сын
慕う	したう	shitau	тосковать по ч-л.; обожать; любить нежно
従って	したがって	shitagatte	поэтому; соответственно; в соответствии с
下心	したごころ	shitagokoro	тайное намерение
親しむ	したしむ	shitashimu	быть близким с; подружиться
下調べ	したしらべ	shitashirabe	предварительное следствие; подготовка
下地	したじ	shitaji	основа; фундамент; наклон; способности; элементарное знание; заземление в; под вторичные; лопата
認める	したためる	shitatameru	признавать; одобрять; разрешать
仕立てる	したてる	shitateru	адаптировать; делать; подготавливать; обучать 
下取り	したどり	shitadori	покупать новую модель в обмен на старую (с доплатой)
下火	したび	shitabi	затухать; идти на убыль (о пожаре и т.п.)
失格	しっかく	shikkaku	дисквалификация; устранение; неспособность 
確り	しっかり	shikkari	твердо; жестко; надежно; устойчиво
質素	しっそ	shisso	простота; скромность; бережливость
失調	しっちょう	shicchou	отсутствие гармонии
嫉妬	しっと	shitto	ревность
尻尾	しっぽ	shippo	хвост (животного)
室	しつ	shitsu	номер
質疑	しつぎ	shitsugi	вопрос
躾	しつけ	shitsuke	обучение; воспитание 
仕付ける	しつける	shitsukeru	смётывать; сшивать на скорую руку; сажать (рассаду)
指摘	してき	shiteki	указание; идентификация
視点	してん	shiten	мнение; точка зрения 
萎びる	しなびる	shinabiru	слабеть; исчезать
嫋か	しなやか	shinayaka	эластичный; гибкий; упругий
屎尿	しにょう	shinyou	экскременты; неочищенные сточные воды 
凌ぐ	しのぐ	shinogu	терпеть; выносить
始発	しはつ	shihatsu	первый поезд
芝	しば	shiba	газон; торф
屡	しばしば	shibashiba	часто; снова и снова
暫く	しばらく	shibaraku	некоторое время
痺れる	しびれる	shibireru	затекать; неметь 
渋い	しぶい	shibui	со вкусом (одежда); прохладно; терпкий; угрюмый; горький (вкус)
私物	しぶつ	shibutsu	частная собственность; личные вещи
	しぶとい	shibutoi	цепкий; упрямый
司法	しほう	shihou	отправление правосудия
脂肪	しぼう	shibou	жир 
志望	しぼう	shibou	желание; стремление; честолюбие
萎む	しぼむ	shibomu	вянуть; сохнуть; блёкнуть
仕舞	しまい	shimai	конец; прекращение
仕舞う	しまう	shimau	делать до конца; полностью сделать что-то 
	しまった	shimatta	черт побери!
始末	しまつ	shimatsu	обстоятельства,детали чего-л.; возможность справиться
泌み泌み	しみじみ	shimijimi	остро; глубоко; сердечно
染みる	しみる	shimiru	проникать
使命	しめい	shimei	миссия; поручение; назначение
締め切り	しめきり	shimekiri	не закрытие; отсечение; конец; срок; закрытое; не вход
僕	しもべ	shimobe	слуга 
社交	しゃこう	shakou	социальная жизнь
謝絶	しゃぜつ	shazetsu	отказ
社宅	しゃたく	shataku	жилой дом для работников компании 
吃逆	しゃっくり	shakkuri	икота
喋る	しゃべる	shaberu	говорить; общаться; болтать
斜面	しゃめん	shamen	склон; наклонная поверхность 
洒落	しゃらく	sharaku	откровенно говоря; с открытым сердцем
洒落る	しゃれる	shareru	шутить; играть на словах; одеваться стильно
視野	しや	shiya	поле зрения; перспективы
種	しゅ	shu	 разнообразие; вид; сорт
衆	しゅう	shuu	массы; люди
周	しゅう	shuu	схема; круг; окружность; окрестности; Чжоу (династия)
収益	しゅうえき	shuueki	прибыль; доходы
修学	しゅうがく	shuugaku	изучение
周期	しゅうき	shuuki	цикл; период
衆議院	しゅうぎいん	shuugiin	нижняя палата; палата представителей
就業	しゅうぎょう	shuugyou	работа; начало работы
修行	しゅうぎょう	shuugyou	изучение; обучение; подготовка; дисциплина
集計	しゅうけい	shuukei	суммирование; итог
襲撃	しゅうげき	shuugeki	атака; заряд; рейд
収支	しゅうし	shuushi	приход и расход
終始	しゅうし	shuushi	начало и конец; от начала до конца
修士	しゅうし	shuushi	степень магистра
収集	しゅうしゅう	shuushuu	сбор; накопление
修飾	しゅうしょく	shuushoku	орнамент; украшения
終日	しゅうじつ	shuujitsu	весь день
執着	しゅうじゃく	shuujaku	привязанность
収容	しゅうよう	shuuyou	размещение; прием; размещение; обеспечение жильем; словарная запись
修了	しゅうりょう	shuuryou	завершение (курса)
守衛	しゅえい	shuei	охранник; сторож
主演	しゅえん	shuen	главная роль
主観	しゅかん	shukan	субъективность 
祝賀	しゅくが	shukuga	празднование
宿命	しゅくめい	shukumei	судьба; предопределение
主権	しゅけん	shuken	суверенитет; верховенство; власть
手芸	しゅげい	shugei	ремесло
主催	しゅさい	shusai	организация; спонсорство
取材	しゅざい	shuzai	выбор материала
趣旨	しゅし	shushi	объект; значение
主食	しゅしょく	shushoku	основные продукты питания
主人公	しゅじんこう	shujinkou	главный герой; глава семьи
主体	しゅたい	shutai	тема; основная составляющая
主題	しゅだい	shudai	тема; мотив
出血	しゅっけつ	shukketsu	кровотечение 
出産	しゅっさん	shussan	рождение ребенка; производство (товаров)
出社	しゅっしゃ	shussha	прибытие (в стране на работе и т.д.)
出生	しゅっしょう	shusshou	рождение
出世	しゅっせ	shusse	продвижение по службе; успешная карьера; повышение
出費	しゅっぴ	shuppi	расходы; выплаты
出品	しゅっぴん	shuppin	выставка; показ
