会う	あう	au	to meet	встречать
雪	ゆき	yuki	snow	снег
行く	ゆく	yuku	to go	идти
	ゆっくりと	yukkurito	slowly	медленно
八日	ようか	youka	eight days, eighth day of the month	восемь дней ; восьмой день месяца
洋服	ようふく	youfuku	western-style clothes	европейская одежда
	よく	yoku	often, well	умело; хорошо
横	よこ	yoko	beside,side,width	ширина;боковая сторона; горизонтально
四日	よっか	yokka	four days, fouth day of the month	четыре дня ; Четвертая день месяца
四つ	よっつ	yottsu	four	четыре
呼ぶ	よぶ	yobu	to call out,to invite	кричать ; приглашать
読む	よむ	yomu	to read	читать
夜	よる	yoru	evening,night	вечер; ночь
弱い	よわい	yowai	weak	слабый
来月	らいげつ	raigetsu	next month	следующий месяц
来週	らいしゅう	raishuu	next week	на следующей неделе
来年	らいねん	rainen	next year	в следующем году
	ラジオ	rajio	radio	радио
	ラジカセ / ラジオカセット	rajikase / rajiokasetto	radio cassette player	магнитола
	りっぱ	rippa	splendid	великолепный
留学生	りゅうがくせい	ryuugakusei	overseas student	иностранный студент
両親	りょうしん	ryoushin	both parents	родители
料理	りょうり	ryouri	cuisine	кухня
旅行	りょこう	ryokou	travel	путешествие
零	れい	rei	zero	ноль
冷蔵庫	れいぞうこ	reizouko	refrigerator	холодильник
	レコード	rekoodo	record	запись
	レストラン	resutoran	restaurant	ресторан
練習	れんしゅうする	renshuusuru	to practice	тренировка
廊下	ろうか	rouka	corridor	коридор
六	ろく	roku	six	шесть
	ワイシャツ	waishatsu	business shirt	деловая рубашка
若い	わかい	wakai	young	молодой
分かる	わかる	wakaru	to be understood	быть понятным
忘れる	わすれる	wasureru	to forget	забыть
私	わたくし	watakushi	(humble) I,myself	(скромно) я
私	わたし	watashi	I,myself	я
渡す	わたす	watasu	to hand over	переправлять; перевозить
渡る	わたる	wataru	to go across	переходить через что-л.; пересекать
悪い	わるい	warui	bad	плохой
	より, ほう	yori, hou	Used for comparison	чем (используется в сравнении)
