	あっ	a	Ah!;Oh!	ах
緊張	きんちょう	kinchou	tension;mental strain;nervousness	напряженность; психическое напряжение; нервозность
筋肉	きんにく	kinniku	muscle;sinew	мышцы; сухожилия
金融	きんゆう	kinyuu	monetary circulation;credit situation	денежное обращение; кредитная ситуация
金曜	きんよう	kinyou	(abbr) Friday	(сокр) пятница
九	く	ku	nine	девять
句	く	ku	sentence	фраза
食う	くう	kuu	(male) (vulg) to eat	есть (грубый мужской вариант)
偶然	ぐうぜん	guuzen	(by) chance;unexpectedly;suddenly	случайно; неожиданно
臭い	くさい	kusai	odour;scent;smell;stench	плохой запах; зловоние
鎖	くさり	kusari	chain	цепь
腐る	くさる	kusaru	to rot;to go bad	гнить
癖	くせ	kuse	a habit (often a bad habit);peculiarity	привычка (часто плохая); особенность
管	くだ	kuda	pipe;tube	труба
具体	ぐたい	gutai	concrete;tangible;material	конкретность
下さる	くださる	kudasaru	(hon) to give;to confer	(вежливо) давать
下り	くだり	kudari	down-train (going away from Tokyo)	уезжать из Токио
苦痛	くつう	kutsuu	pain;agony	боль; страдание
	ぐっすり	gussuri	sound asleep;fast asleep	крепко спать
区別	くべつ	kubetsu	distinction;differentiation;classification	различие; дифференциация; классификация
組	くみ	kumi	class;group;team;set	класс; группа; команда; набор
組合	くみあい	kumiai	association;union	ассоциация; союз
組む	くむ	kumu	to put together	собирать
曇	くもり	kumori	cloudiness;cloudy weather;shadow	облачность; облако
位	くらい	kurai	grade;rank;about	класс; звание
暮らし	くらし	kurashi	living;livelihood;subsistence;circumstances	проживание; средства к существовани
	クラシック	kurashikku	classic(s)	классический
暮らす	くらす	kurasu	to live;to get along	жить; ладить
	グラス	gurasu	(1) glass;(2) grass	стекло; трава
	グランド	gurando	gland;grand;(electrical) ground	великий
	クリーム	kuriimu	cream	крем
繰り返す	くりかえす	kurikaesu	to repeat;to do something over again	повторять; делать что-то снова
	クリスマス	kurisumasu	Christmas	рождество
狂う	くるう	kuruu	to go mad;to get out of order	соходить с ума
	グループ	guruupu	group	группа
苦しい	くるしい	kurushii	painful;difficult	болезненный; мчительный
苦しむ	くるしむ	kurushimu	to suffer;to groan;to be worried	страдать; мучиться
暮れ	くれ	kure	year end;sunset;nightfall;end	конец года; закат; сумерки
苦労	くろう	kurou	troubles;hardships	неприятности; трудности
加える	くわえる	kuwaeru	to append;to sum up;to add (up)	добавить; подводить итоги; добавлять
詳しい	くわしい	kuwashii	knowing very well;detailed;full;accurate	знать очень хорошо; подробный; точный
加わる	くわわる	kuwawaru	to join in;to accede to;to increase;to gain in (influence)	присоединять; увеличить; набирать (влияние)
訓	くん	kun	native Japanese reading of a Chinese character	кунное чтение китайский символ
軍	ぐん	gun	army;force;troops	армия; сила; войска
軍隊	ぐんたい	guntai	army;troops	армия; войска
訓練	くんれん	kunren	practice;training	практика; обучение
下	げ	ge	under;below;beneath	ниже; под
計	けい	kei	plan	план
敬意	けいい	keii	respect;honour	уважение; честь
経営	けいえい	keiei	management;administration	управление; администрация
計画	けいかく	keikaku	plan;project;schedule;scheme;program	План; проект; график; схема; программа
景気	けいき	keiki	condition;state;business (condition)	дела; положение дел
経験	けいけん	keiken	experience	опыт
傾向	けいこう	keikou	tendency;trend;inclination	тенденция; наклон
警告	けいこく	keikoku	warning;advice	предупреждение; совет
計算	けいさん	keisan	calculation;reckoning	расчет; расплата
掲示	けいじ	keiji	notice;bulletin	уведомление; бюллетень
刑事	けいじ	keiji	criminal case;(police) detective	уголовное дело; детектив
芸術	げいじゅつ	geijutsu	(fine) art;the arts	искусство
契約	けいやく	keiyaku	contract;compact;agreement	контракт; соглашение
経由	けいゆ	keiyu	go by the way;via	идти по пути; через
	ケース	keesu	case	дело
	ゲーム	geemu	game	игра
怪我	けが	kega	injury (to animate object);hurt	травма
劇	げき	geki	drama;play	драма; игра
劇場	げきじょう	gekijou	theatre;playhouse	театр;
化粧	けしょう	keshou	make-up (cosmetic)	макияж
	けち	kechi	stinginess;miser;miserliness	скупость; скряга
結果	けっか	kekka	result;consequence	результат; следствиее
欠陥	けっかん	kekkan	defect;fault;deficiency	дефект; вина; дефицит
結局	けっきょく	kekkyoku	after all;eventually	в конечном счете;
決心	けっしん	kesshin	determination;resolution	определение; разрешение
欠席	けっせき	kesseki	absence;non-attendance	отсутствие; непосещение
決定	けってい	kettei	decision;determination	решение; определение
欠点	けってん	ketten	faults;defect;weakness	неисправность; дефект; слабость
月曜	げつよう	getsuyou	Monday	понедельник
結論	けつろん	ketsuron	conclusion	вывод
煙	けむり	kemuri	smoke;fumes	дым
券	けん	ken	ticket;coupon;bond;certificate	билет; купон; удостоверение
県	けん	ken	prefecture	префектура
軒	けん	ken	eaves	карниз
喧嘩	けんか	kenka	quarrel;(drunken) brawl;failure	ссора; драка
見解	けんかい	kenkai	opinion;point of view	мнение; точка зрения
限界	げんかい	genkai	limit;bound	ограничивать
現金	げんきん	genkin	cash;ready money;mercenary;self-interested	наличные деньги
言語	げんご	gengo	language	язык
健康	けんこう	kenkou	health;sound;wholesome	здоровье; полезный
検査	けんさ	kensa	inspection (e.g. customs; factory);examination	осмотр; проверка (например завода); экспертиза
現在	げんざい	genzai	present;up to now;nowadays;modern times;current	современность
現実	げんじつ	genjitsu	reality	реальность
現象	げんしょう	genshou	phenomenon	явление
現状	げんじょう	genjou	present condition;existing state;status quo	текущее состояние; существующее положение; статус-кво
建設	けんせつ	kensetsu	construction;establishment	строительство; создание
現代	げんだい	gendai	nowadays;modern times;present-day	в настоящее время; современность
建築	けんちく	kenchiku	construction;architecture	строительство; архитектура
見当	けんとう	kentou	be found;aim;estimate;guess;approx	найти; цель; оценка; думаю; около
検討	けんとう	kentou	consideration;examination;investigation;study;scrutiny	рассмотрение; изучение; исследование
現場	げんば	genba	actual spot;scene;scene of the crime	фактическое место;место преступления
憲法	けんぽう	kenpou	constitution	конституция
権利	けんり	kenri	right;privilege	сторон; привилегия
後	ご	go	afterwards;since then;in the future	потом; с тех пор; в будущем
語	ご	go	language;word	язык; слово
恋	こい	koi	love;tender passion	любовь; страсть
濃い	こい	koi	thick (as of color; liquid);dense;strong	густой (цвет); плотный (о веществе)
恋人	こいびと	koibito	lover;sweetheart	любовник; любимый(ая)
幸運	こううん	kouun	good luck;fortune	удача
講演	こうえん	kouen	lecture;address	лекция
効果	こうか	kouka	effect;effectiveness;efficacy;result	эффект; эффективность; результат
硬貨	こうか	kouka	coin	монета
高価	こうか	kouka	high price	высокая цена
豪華	ごうか	gouka	wonderful;gorgeous;splendor;pomp;extravagance	великолепие; пышность
合格	ごうかく	goukaku	success;passing (e.g. exam);eligibility	успешное прохождения (например экзамена); соответствие требованиям
交換	こうかん	koukan	exchange;interchange;reciprocity	обмен; взаимность
航空	こうくう	koukuu	aviation;flying	авиация; летать
光景	こうけい	koukei	scene;spectacle	сцена
合計	ごうけい	goukei	sum total;total amount	общая сумма
攻撃	こうげき	kougeki	attack;strike;offensive;criticism;censure	атака; забастовка; наступление; порицание
貢献	こうけん	kouken	contribution;services	вклад; услуги
広告	こうこく	koukoku	advertisement	реклама
交際	こうさい	kousai	company;friendship;association;society;acquaintance	компания; дружба; ассоциация; общество; знакомство
後者	こうしゃ	kousha	the latter	последний
工場	こうば	kouba	factory;plant;mill;workshop	завод; мастерская
構成	こうせい	kousei	organization;composition	организация; состав
高速	こうそく	kousoku	high speed;high gear	высокая скорость
行動	こうどう	koudou	action;conduct;behaviour;mobilization	действие; поведение
強盗	ごうとう	goutou	robbery;burglary	грабеж; взлом
幸福	こうふく	koufuku	happiness;blessedness	счастье
公平	こうへい	kouhei	fairness;impartial;justice	справедливость; беспристрастность
候補	こうほ	kouho	candidacy	кандидатура
考慮	こうりょ	kouryo	consideration;taking into account	рассмотрение; учето
越える	こえる	koeru	to exceed;to cross over;to cross	превышать; пересекать;
	コーチ	koochi	coach	тренер
	コード	koodo	code;cord;chord	код
氷	こおり	koori	ice;hail	лед
凍る	こおる	kooru	to freeze;to be frozen over;to congeal	замораживать; застывать
	ゴール	gooru	goal	цель
誤解	ごかい	gokai	misunderstanding	недоразумение
語学	ごがく	gogaku	language study	изучение языков
呼吸	こきゅう	kokyuu	breath;respiration	дыхание; дыхание
故郷	こきょう	kokyou	home town;birthplace;old village;historic village	родной город; родина
極	ごく	goku	quite;very	очень
国語	こくご	kokugo	national language	национальный язык
黒板	こくばん	kokuban	blackboard	классная доска
克服	こくふく	kokufuku	subjugation;conquest	подчинение; завоевание
国民	こくみん	kokumin	national;people;citizen	национальность; люди
穀物	こくもつ	kokumotsu	grain;cereal;corn	зерна; зерновые
ここ	ここ	koko	here	здесь
腰	こし	koshi	hip	бедро
故障	こしょう	koshou	break-down;failure;accident;out of order	авария; выход из строя
個人	こじん	kojin	individual;private person;personal;private	личность; частное лицо; личный
越す	こす	kosu	to go over (e.g. with audience)	переходить
国家	こっか	kokka	state;country;nation	государство; страна; нация
国会	こっかい	kokkai	National Diet;parliament;congress	парламент; конгресс
国境	こっきょう	kokkyou	national or state border	государственная граница
骨折	こっせつ	kossetsu	bone fracture	перелом кости
小包	こづつみ	kozutsumi	parcel;package	посылка
事	こと	koto	thing;matter;fact;circumstances	вещь; дело; факт; обстоятельства
異なる	ことなる	kotonaru	to differ;to vary;to disagree	отличаться; варьироватьcя
諺	ことわざ	kotowaza	proverb;maxim	пословица
断る	ことわる	kotowaru	to refuse;to decline;to dismiss	отказаться; снижаться; уволять
粉	こな	kona	flour;meal;powder	мука;порошок
この	この	kono	this	это
好み	このみ	konomi	liking;taste;choice	симпатия; вкус; выбор
好む	このむ	konomu	to like;to prefer	нравиться; предпочитать
	コピー	kopii	(1) a (photo)copy;(2) blurb on a book jacket	копия
塵	ごみ	gomi	dust;dirt	пыль; грязь
小麦	こむぎ	komugi	wheat	пшеница
	ごめんなさい	gomennasai	I beg your pardon;excuse me	прошу прощения; извините
小屋	こや	koya	hut;cabin;shed;(animal) pen	кабина; конура для животного
	これら	korera	these	эти
頃	ころ	koro	time;about;toward;approximately (time)	Время; около; к; примерно (время)
殺す	ころす	korosu	to kill	убивать
転ぶ	ころぶ	korobu	to fall down;to fall over	падать; скатываться
今回	こんかい	konkai	now;this time;lately	теперь; на этот раз
今後	こんご	kongo	from now on;hereafter	отныне; далее
混雑	こんざつ	konzatsu	confusion;congestion	путаница; хаос
	こんなに	konnani	so;like this;in this way	так; как это; в этом случае
困難	こんなん	konnan	difficulty;distress	Трудности; бедствия
今日	こんにち	konnichi	today;this day	сегодня; этот день
	コンピューター	konpyuutaa	computer	компьютер
婚約	こんやく	konyaku	engagement;betrothal	помолвка
混乱	こんらん	konran	disorder;chaos;confusion;mayhem	хаос; путаница; беспорядок
差	さ	sa	difference;variation	разница; изменение
	サービス	saabisu	(1) service;support system;(2) goods or services without charge	обслуживание; система поддержки
際	さい	sai	on the occasion of;circumstances	по случаю; по обстоятельствам
最高	さいこう	saikou	highest;supreme;the most	самый высокий; наиболее
財産	ざいさん	zaisan	property;fortune;assets	собственность; активы
最終	さいしゅう	saishuu	last;final;closing	самый последний
最中	さいちゅう	saichuu	in the middle of	в середине
最低	さいてい	saitei	least;lowest;worst	самый низкий; худший
才能	さいのう	sainou	talent;ability	талант; способность
裁判	さいばん	saiban	trial;judgement	суд
材料	ざいりょう	zairyou	ingredients;material	ингредиенты; материалы
幸い	さいわい	saiwai	happiness;blessedness	счастье; блаженство
	サイン	sain	(1) autograph;(2) sign;(3) sine	автограф; знак
境	さかい	sakai	border;boundary;mental state	граница; предел
逆らう	さからう	sakarau	to go against;to oppose;to disobey;to defy	идти против; противостоять; ослушаться; бросить вызов
盛り	さかり	sakari	helping;serving	расцвет; разгар
作業	さぎょう	sagyou	work;operation;manufacturing;fatigue duty	работа; производство
昨	さく	saku	last (year);yesterday	прошлый
作品	さくひん	sakuhin	work;opus;performance;production	результат производства; товары
作物	さくもつ	sakumotsu	produce (e.g. agricultural);crops	производить (например сельскохозяйственное); культуры
桜	さくら	sakura	cherry blossom;cherry tree	вишня
酒	さけ	sake	alcohol;sake	алкоголь; саке
叫ぶ	さけぶ	sakebu	to shout;to cry	кричать; плакать
避ける	さける	sakeru	(1) to avoid (physical contact );(2) to ward off;to avert	избегать; предотвращать
支える	ささえる	sasaeru	to be blocked;to choke;to be obstructed	поддерживать; подпирать
指す	さす	sasu	to point;to put up umbrella;to play	указывать
座席	ざせき	zaseki	seat	сиденье
誘う	さそう	sasou	(1) to invite;to ask;(2) to tempt;to lure;to induce	приглашать; спрашивать; зазывать
札	さつ	satsu	(1) token;label;(2) ticket;(3) charm	этикетка; билет; купюра
作家	さっか	sakka	author;writer;novelist;artist	автор; писатель; художник
作曲	さっきょく	sakkyoku	composition;setting (of music)	сочинение (музыки)
	ざっと	zatto	roughly;in round numbers	примерно; в круглых цифрах
	さっぱり	sappari	feeling refreshed;feeling relieved;neat;trimmed	чувство обновления; чувствуя облегчение
	さて	sate	well;now;then	хорошо; а теперь;; после чего
砂漠	さばく	sabaku	desert	пустыня
差別	さべつ	sabetsu	discrimination;distinction;differentiation	дискриминация; различие; дифференциация
作法	さほう	sahou	manners;etiquette;propriety	манеры; этикет; приличия
様々	さまざま	samazama	varied;various	разнообразные; различные
覚ます	さます	samasu	to awaken	будить
覚める	さめる	sameru	to wake;to wake up	чтобы разбудить; проснуться
左右	さゆう	sayuu	(1) left and right;(2) influence;control;domination	слева и справа; влияние; контроль
皿	さら	sara	plate;dish	тарелка; блюдо
更に	さらに	sarani	furthermore;again;after all;more and more;moreover	кроме того; и снова; в конце концов; все больше и больше
去る	さる	saru	to leave;to go away	оставлять; уходить
猿	さる	saru	monkey	обезьяна
騒ぎ	さわぎ	sawagi	uproar;disturbance	шум
参加	さんか	sanka	participation	участие
参考	さんこう	sankou	reference;consultation	ссылка; консультация
賛成	さんせい	sansei	approval;agreement;support;favour	утверждение; соглашение; поддержка
酸素	さんそ	sanso	oxygen	кислород
散歩	さんぽ	sanpo	walk;stroll	прогулка
氏	し	shi	family name;lineage;birth	фамилия; линия; рождения
詩	し	shi	poem;verse of poetry	Стихотворение; стих поэзии
幸せ	しあわせ	shiawase	happiness;good fortune;luck;blessing	счастье; удача; удача; благословение
	ジーンズ	jiinzu	jeans	джинсы
ジェット機	ジェットき	jettoki	jet aeroplane	реактивный самолет
直に	じかに	jikani	immediately;readily;directly	немедленно; легко; непосредственно
	しかも	shikamo	moreover;furthermore;nevertheless;and yet	кроме того; кроме того; тем не менее; и в то же
叱る	しかる	shikaru	to scold	ругать
式	しき	shiki	equation;formula;ceremony	уравнение; формула; церемония
直	じき	jiki	earnestly;immediately;exactly	искренне; сразу; точно
時期	じき	jiki	time;season;period	время; сезон; период
支給	しきゅう	shikyuu	payment;allowance	оплата; пособие
	しきりに	shikirini	frequently;repeatedly;incessantly;eagerly	часто; неоднократно; постоянно; нетерпением
刺激	しげき	shigeki	stimulus;impetus;incentive	стимул; импульс; стимулом
資源	しげん	shigen	resources	ресурсы
事件	じけん	jiken	event;affair;incident	события; дело; инцидент
時刻	じこく	jikoku	instant;time;moment	мгновенный; время; момент
自殺	じさつ	jisatsu	suicide	самоубийство
事実	じじつ	jijitsu	fact;truth;reality	правда; реальность
支出	ししゅつ	shishutsu	expenditure;expenses	расходов; расходы
事情	じじょう	jijou	circumstances;consideration;conditions;situation;reasons	обстоятельства; условия; ситуация; причины
詩人	しじん	shijin	poet	поэт
自身	じしん	jishin	by oneself;personally	по себе; лично
沈む	しずむ	shizumu	to sink;to feel depressed	тонуть; чувствовать себя подавленным
自然	しぜん	shizen	nature;spontaneous	природа; естественный
思想	しそう	shisou	thought;idea	мысль; идея
舌	した	shita	tongue	язык
次第	しだい	shidai	(1) order;precedence;(2) circumstances;(3) immediate(ly)	порядок; побстоятельства
事態	じたい	jitai	situation;present state of affairs	ситуация; нынешнее состояние дел
従う	したがう	shitagau	to abide (by the rules);to obey;to follow;to accompany	соблюдать (правила); подчиняться; следовать; сопровождать
したがって	したがって	shitagatte	therefore;consequently;in accordance with	поэтому; следовательно; в соответствии с
支度	したく	shitaku	preparation	подготовка
親しい	したしい	shitashii	intimate;close (e.g. friend)	близкий; дружеский
質	しつ	shitsu	quality;nature (of person)	качество; природа (человека)
失業	しつぎょう	shitsugyou	unemployment	безработица
実験	じっけん	jikken	experiment	эксперимент
実現	じつげん	jitsugen	implementation;materialization;realization	реализация; материализация; реализация
実行	じっこう	jikkou	practice;performance;execution (e.g. program);realization	реализация; практика; производительность; выполнение (например; программа)
実際	じっさい	jissai	practical;actual condition;status quo	фактическое состояние; статус-кво
実施	じっし	jisshi	enforcement;enact;put into practice;carry out;operation	проведение в жизнь; осуществление
	じっと	jitto	fixedly;firmly;patiently;quietly	жестко; твердо; терпеливо; спокойно
実に	じつに	jitsuni	indeed;truly;surely	действительно; по-настоящему; безусловно
実は	じつは	jitsuha	as a matter of fact;by the way	как по сути; кстати
失望	しつぼう	shitsubou	disappointment;despair	разочарование; отчаяние
支店	してん	shiten	branch store (office)	филиал
指導	しどう	shidou	leadership;guidance;coaching	лидерство; руководство
自動	じどう	jidou	automatic;self-motion	автоматический
品	しな	shina	thing;article;goods;dignity;article (goods);counter for meal courses	вещь; качество; товар
支配	しはい	shihai	rule;control;direction	правило; контроль; направление
芝居	しばい	shibai	play;drama	спектакль
	しばしば	shibashiba	often;again and again;frequently	часто; снова и снова
芝生	しばふ	shibafu	lawn	газон
支払	しはらい	shiharai	payment	оплата
支払う	しはらう	shiharau	to pay	платить
死亡	しぼう	shibou	death;mortality	смерть; смертность
資本	しほん	shihon	funds;capital	фонды; капитал
姉妹	しまい	shimai	sisters	сестры
	しまう	shimau	to finish;to close;to do something completely	заканчивать; полностью сделать что-то
	しまった	shimatta	Damn it!	Черт побери!
自慢	じまん	jiman	pride;boast	гордость; хвастовство
事務	じむ	jimu	business;office work	бизнес; работа в офисе
示す	しめす	shimesu	to denote;to show;to point out;to indicate	для обозначения; показать; указать; чтобы указать
占める	しめる	shimeru	(1) to comprise;to account for;to make up (of);(2) to hold;to occupy	занимать (место; положение; позиции и т.п.)
下	しも	shimo	under;below;beneath	под; ниже; под
霜	しも	shimo	frost	мороз
	じゃあ	jaa	well;well then	хорошо; ну а затем
借金	しゃっきん	shakkin	debt;loan;liabilities	долг; кредит
	しゃべる	shaberu	to talk;to chat;to chatter	общаться; болтать
邪魔	じゃま	jama	hindrance;intrusion	помеха; неудобство
週	しゅう	shuu	week	неделя
州	しゅう	shuu	sandbank	отмель
十	じゅう	juu	10;ten	10; десять
銃	じゅう	juu	gun	пистолет
周囲	しゅうい	shuui	surroundings;circumference;environs	окрестности; окружность
収穫	しゅうかく	shuukaku	harvest;crop;ingathering	сбор урожая
週間	しゅうかん	shuukan	week;weekly	еженедельный
宗教	しゅうきょう	shuukyou	religion	религия
重視	じゅうし	juushi	importance;stress;serious consideration	важность; внимание
就職	しゅうしょく	shuushoku	finding employment;inauguration	трудоустройство
	ジュース	juusu	juice;soft drink;deuce	сок
修正	しゅうせい	shuusei	amendment;correction;revision;modification	поправка; коррекция; пересмотр; модификация
渋滞	じゅうたい	juutai	congestion (e.g. traffic);delay;stagnation	пробка (трафика); задержка; застой
重大	じゅうだい	juudai	serious;important;grave;weighty	серьезный; важный; весомый
住宅	じゅうたく	juutaku	resident;housing	дом; жилье
集団	しゅうだん	shuudan	group;mass	группа
集中	しゅうちゅう	shuuchuu	concentration;focusing the mind	концентрация;
収入	しゅうにゅう	shuunyuu	income;receipts;revenue	доход; поступления
住民	じゅうみん	juumin	citizens;inhabitants;residents;population	граждане; жители; население
重要	じゅうよう	juuyou	important;momentous;essential;principal;major	важный; знаменательный; важно
修理	しゅうり	shuuri	repairing;mending	ремонт
主義	しゅぎ	shugi	doctrine;rule;principle	доктрина; правило; принцип
宿泊	しゅくはく	shukuhaku	lodging	жилье
手術	しゅじゅつ	shujutsu	surgical operation	хирургическая операция
首相	しゅしょう	shushou	Prime Minister	премьер-министр
手段	しゅだん	shudan	means;way;measure	средство; способ; мера
主張	しゅちょう	shuchou	claim;request;insistence;assertion	претензии; запрос; настойчивость; утверждение
出身	しゅっしん	shusshin	graduate from;come from	выпускник; родом из
出席	しゅっせき	shusseki	attendance;presence	посещаемость; присутствие
出発	しゅっぱつ	shuppatsu	departure	отправление
出版	しゅっぱん	shuppan	publication	публикация
首都	しゅと	shuto	capital city	столица
主婦	しゅふ	shufu	housewife;mistress	домохозяйка; хозяйка
主要	しゅよう	shuyou	chief;main;principal;major	главный; основной; основной; основным
需要	じゅよう	juyou	demand;request	спрос; запрос
種類	しゅるい	shurui	variety;kind;type	Разнообразие; вид; Тип
順	じゅん	jun	order;turn	порядок; очередь
瞬間	しゅんかん	shunkan	moment;second;instant	момент
順調	じゅんちょう	junchou	favourable;doing well;O.K.;all right	благоприятный
順番	じゅんばん	junban	turn (in line);order of things	порядок вещей
準備	じゅんび	junbi	preparation;arrangements;provision;reserve	подготовка; договоренность
使用	しよう	shiyou	use;application;employment;utilization	использование
小	しょう	shou	small	небольшой
章	しょう	shou	(1) chapter;section;(2) medal	глава книги; значок; эмблема
賞	しょう	shou	prize;award	премия; награда
障害	しょうがい	shougai	obstacle;impediment (fault);damage	препятствием; препятствием (ошибка); повреждения
奨学金	しょうがくきん	shougakukin	scholarship	стипендия
乗客	じょうきゃく	joukyaku	passenger	пассажир
上京	じょうきょう	joukyou	proceeding to the capital (Tokyo)	прибыть в Токио
状況	じょうきょう	joukyou	state of affairs;situation;circumstances	состояние дел; ситуация; обстоятельства
条件	じょうけん	jouken	conditions;terms	условия; термины
正午	しょうご	shougo	noon;mid-day	полдень; середина дня
正直	しょうじき	shoujiki	honesty;integrity;frankness	честность; откровенность
常識	じょうしき	joushiki	common sense	здравый смысл
少女	しょうじょ	shoujo	daughter;young lady;virgin;maiden;little girl	дочь; девочка; девушка
少々	しょうしょう	shoushou	just a minute;small quantity	всего минуту; небольшое количество
症状	しょうじょう	shoujou	symptoms;condition	симптомы; состояние
生じる	しょうじる	shoujiru	to produce;to yield;to result from;to arise;to be generated	производить; возникнать
招待	しょうたい	shoutai	invitation	приглашение
状態	じょうたい	joutai	condition;situation;circumstances;state	состояние; ситуация; обстоятельства
上達	じょうたつ	joutatsu	improvement;advance;progress	улучшение; продвижение; прогресс
冗談	じょうだん	joudan	jest;joke	шутка
承知	しょうち	shouchi	consent;acceptance;assent;admitting	согласие; принятие
上等	じょうとう	joutou	superiority;first class;very good	превосходство; первый класс
衝突	しょうとつ	shoutotsu	collision;conflict	столкновения; конфликт
商人	しょうにん	shounin	trader;shopkeeper;merchant	трейдер; продавец
承認	しょうにん	shounin	recognition;acknowledgement;approval;consent;agreement	признание; утверждение; согласие
少年	しょうねん	shounen	boys;juveniles	юноша; несовершеннолетний
商売	しょうばい	shoubai	trade;business;commerce;transaction;occupation	торговля; бизнес; коммерция
消費	しょうひ	shouhi	consumption;expenditure	потребление; расходы
商品	しょうひん	shouhin	commodity;article of commerce;goods;stock;merchandise	товар; предмет торговли
消防	しょうぼう	shoubou	fire fighting;fire department	пожаротушение; пожарная
情報	じょうほう	jouhou	information;(military) intelligence	информация
証明	しょうめい	shoumei	proof;verification	доказательство; проверка
女王	じょおう	joou	queen	королева
職	しょく	shoku	employment	занятость
職業	しょくぎょう	shokugyou	occupation;business	оккупация; бизнес
食事	しょくじ	shokuji	meal	еда
食卓	しょくたく	shokutaku	dining table	обеденный стол
食品	しょくひん	shokuhin	commodity;foodstuff	товар; продукты питания
植物	しょくぶつ	shokubutsu	plant;vegetation	растений; растительность
食物	しょくもつ	shokumotsu	food;foodstuff	питание; продукты питания
食欲	しょくよく	shokuyoku	appetite (for food)	аппетит
食料	しょくりょう	shokuryou	food	еда
食糧	しょくりょう	shokuryou	provisions;rations	положений; рационы
書斎	しょさい	shosai	study	исследование
女子	じょし	joshi	woman;girl	женщина; девушка
助手	じょしゅ	joshu	helper;helpmeet;assistant;tutor	помощник
徐々に	じょじょに	jojoni	slowly;little by little;gradually;steadily;quietly	медленно; мало-помалу; постепенно; неуклонно; спокойно
署名	しょめい	shomei	signature	подпись
書物	しょもつ	shomotsu	books	книги
女優	じょゆう	joyuu	actress	актриса
処理	しょり	shori	processing;dealing with;treatment;disposition;disposal	обработка; управление
書類	しょるい	shorui	documents;official papers	документы
知らせ	しらせ	shirase	notice	уведомление
尻	しり	shiri	buttocks;bottom	зад; хвост
印	しるし	shirushi	(1) mark;(2) symbol;(3) evidence	знак; символ
城	しろ	shiro	castle	замок
進学	しんがく	shingaku	going on to university	поступление в учебное заведение более высокой ступени
神経	しんけい	shinkei	nerve;sensitivity	нерв; чувствительность
真剣	しんけん	shinken	seriousness;earnestness	серьезность
信仰	しんこう	shinkou	(religious) faith;belief;creed	(религиозная) вера
信号	しんごう	shingou	traffic lights;signal;semaphore	светофор; сигнал; знак;
人工	じんこう	jinkou	artificial;manmade;human work;human skill;artificiality	искусственный; человеческий труд
深刻	しんこく	shinkoku	serious	серьезный
診察	しんさつ	shinsatsu	medical examination	медицинский осмотр
人種	じんしゅ	jinshu	race (of people)	раса
信じる	しんじる	shinjiru	to believe;to place trust in	верить
人生	じんせい	jinsei	(human) life (i.e. conception to death)	человеческая жизнь
親戚	しんせき	shinseki	relative	относительный
新鮮	しんせん	shinsen	fresh	свежий
心臓	しんぞう	shinzou	heart	сердце
身体	しんたい	shintai	the body	тело
身長	しんちょう	shinchou	height (of body);stature	рост (тела)
慎重	しんちょう	shinchou	discretion;prudence	усмотрение; благоразумие
心配	しんぱい	shinpai	worry;concern;anxiety;care	волнение; озабоченность; беспокойство
審判	しんぱん	shinpan	refereeing;trial;judgement;umpire;referee	судейство; процесс; суждение; судья
人物	じんぶつ	jinbutsu	character;personality;person;man;personage;talented man	характер; личность; персонаж;
進歩	しんぽ	shinpo	progress;development	прогресс; развитие
親友	しんゆう	shinyuu	close friend;buddy	близкий друг
信用	しんよう	shinyou	confidence;dependence;credit;faith	уверенность; вера
信頼	しんらい	shinrai	reliance;trust;confidence	доверие; уверенность
心理	しんり	shinri	mentality	психология
人類	じんるい	jinrui	mankind;humanity	человечество
巣	す	su	nest;rookery;breeding place;beehive;cobweb	гнездо; улей; паутина
図	ず	zu	figure (e.g. Fig 1);drawing;picture;illustration	рисунок; иллюстрация
水準	すいじゅん	suijun	(1) water level;(2) level;standard	уровень воды; стандарт
推薦	すいせん	suisen	recommendation	рекомендация
	スイッチ	suicchi	switch	переключатель
随分	ずいぶん	zuibun	extremely	чрезвычайно
睡眠	すいみん	suimin	sleep	сон
数	すう	suu	number;figure	число; фигура
数字	すうじ	suuji	numeral;figure	цифра; фигура
	スープ	suupu	(Western) soup	суп
末	すえ	sue	the end of;powder	окончание
姿	すがた	sugata	figure;shape;appearance	фигура; форма
	スキー	sukii	skiing	катание на лыжах
空く	すく	suku	(1) to open;to become empty;(2) to be less crowded	открывать; становиться пустым
救う	すくう	sukuu	to rescue from;to help out of	спасать
優れる	すぐれる	sugureru	to surpass;to outstrip;to excel	превосходить
	スケート	sukeeto	skate(s);skating	катание
	すごい	sugoi	terrible;dreadful;terrific;amazing;great	ужасно; потрясающе; удивительно
少しも	すこしも	sukoshimo	anything of;not one bit	что-нибудь
過ごす	すごす	sugosu	to pass;to spend;to go through;to tide over	проходить; преодолевать
筋	すじ	suji	muscle;string;line	мышцы; строка; линия
進める	すすめる	susumeru	to advance;to promote;to hasten	продвигаться; прогрессировать
勧める	すすめる	susumeru	to recommend;to advise;to encourage;to offer (wine)	рекомендовать; советовать; поощрять
	スター	sutaa	star	звезда
	スタイル	sutairu	style	стиль
	スタンド	sutando	stand	стоять
頭痛	ずつう	zutsuu	headache	головная боль
	ずっと	zutto	consecutively;throughout;a lot	всегда; прямо; всё время; сплошь
